,Time_series,GSR,HR,timestamp,time2,subject,video_id
0,969691,540,511,1753443135421,2025-07-25 17:02:15.421021+05:30,5,8
1,969792,540,514,1753443135521,2025-07-25 17:02:15.521961+05:30,5,8
2,969892,540,513,1753443135622,2025-07-25 17:02:15.622939+05:30,5,8
3,969994,540,513,1753443135723,2025-07-25 17:02:15.723775+05:30,5,8
4,970094,542,512,1753443135824,2025-07-25 17:02:15.824466+05:30,5,8
5,970195,541,512,1753443135925,2025-07-25 17:02:15.925309+05:30,5,8
6,970296,539,513,1753443136026,2025-07-25 17:02:16.026102+05:30,5,8
7,970397,539,511,1753443136127,2025-07-25 17:02:16.127292+05:30,5,8
8,970498,540,514,1753443136228,2025-07-25 17:02:16.227995+05:30,5,8
9,970599,540,514,1753443136328,2025-07-25 17:02:16.328805+05:30,5,8
10,970699,514,513,1753443136429,2025-07-25 17:02:16.429478+05:30,5,8
11,970801,499,512,1753443136530,2025-07-25 17:02:16.530276+05:30,5,8
12,970901,492,512,1753443136631,2025-07-25 17:02:16.631243+05:30,5,8
13,971002,489,512,1753443136732,2025-07-25 17:02:16.731998+05:30,5,8
14,971103,486,512,1753443136832,2025-07-25 17:02:16.832807+05:30,5,8
15,971203,485,513,1753443136933,2025-07-25 17:02:16.933775+05:30,5,8
16,971304,483,514,1753443137034,2025-07-25 17:02:17.034544+05:30,5,8
17,971405,481,514,1753443137135,2025-07-25 17:02:17.135797+05:30,5,8
18,971506,480,512,1753443137236,2025-07-25 17:02:17.236187+05:30,5,8
19,971607,479,513,1753443137337,2025-07-25 17:02:17.336992+05:30,5,8
20,971708,478,514,1753443137437,2025-07-25 17:02:17.437866+05:30,5,8
21,971808,478,513,1753443137538,2025-07-25 17:02:17.538807+05:30,5,8
22,971910,478,513,1753443137639,2025-07-25 17:02:17.639631+05:30,5,8
23,972010,477,514,1753443137740,2025-07-25 17:02:17.740460+05:30,5,8
24,972111,477,513,1753443137841,2025-07-25 17:02:17.841298+05:30,5,8
