,Time_series,GSR,HR,timestamp,time2,subject,video_id
0,972717,505,514,1754641280793,2025-08-08 13:51:20.793217+05:30,30,8
1,972817,505,509,1754641280894,2025-08-08 13:51:20.894280+05:30,30,8
2,972917,506,516,1754641280994,2025-08-08 13:51:20.994899+05:30,30,8
3,973019,505,512,1754641281095,2025-08-08 13:51:21.095755+05:30,30,8
4,973119,504,507,1754641281196,2025-08-08 13:51:21.196590+05:30,30,8
5,973220,506,509,1754641281297,2025-08-08 13:51:21.297532+05:30,30,8
6,973321,504,510,1754641281398,2025-08-08 13:51:21.398217+05:30,30,8
7,973422,506,510,1754641281499,2025-08-08 13:51:21.499171+05:30,30,8
8,973522,507,511,1754641281600,2025-08-08 13:51:21.600038+05:30,30,8
9,973624,507,515,1754641281700,2025-08-08 13:51:21.700868+05:30,30,8
10,973724,506,513,1754641281801,2025-08-08 13:51:21.801622+05:30,30,8
11,973826,507,509,1754641281902,2025-08-08 13:51:21.902475+05:30,30,8
12,973926,507,509,1754641282003,2025-08-08 13:51:22.003221+05:30,30,8
13,974027,507,509,1754641282104,2025-08-08 13:51:22.104214+05:30,30,8
14,974128,507,509,1754641282204,2025-08-08 13:51:22.204962+05:30,30,8
15,974229,507,511,1754641282305,2025-08-08 13:51:22.305813+05:30,30,8
16,974329,507,513,1754641282406,2025-08-08 13:51:22.406620+05:30,30,8
17,974431,507,518,1754641282507,2025-08-08 13:51:22.507421+05:30,30,8
18,974531,507,506,1754641282608,2025-08-08 13:51:22.608325+05:30,30,8
19,974632,506,510,1754641282709,2025-08-08 13:51:22.709188+05:30,30,8
20,974733,505,511,1754641282809,2025-08-08 13:51:22.809963+05:30,30,8
21,974833,505,509,1754641282910,2025-08-08 13:51:22.910952+05:30,30,8
22,974935,504,509,1754641283011,2025-08-08 13:51:23.011648+05:30,30,8
23,975035,504,510,1754641283112,2025-08-08 13:51:23.112506+05:30,30,8
24,975136,501,510,1754641283213,2025-08-08 13:51:23.213304+05:30,30,8
25,975237,503,515,1754641283314,2025-08-08 13:51:23.314163+05:30,30,8
26,975338,502,508,1754641283415,2025-08-08 13:51:23.415073+05:30,30,8
27,975438,502,510,1754641283516,2025-08-08 13:51:23.516089+05:30,30,8
28,975540,502,511,1754641283616,2025-08-08 13:51:23.616802+05:30,30,8
29,975640,500,511,1754641283717,2025-08-08 13:51:23.717812+05:30,30,8
30,975741,501,510,1754641283818,2025-08-08 13:51:23.818470+05:30,30,8
31,975842,502,511,1754641283919,2025-08-08 13:51:23.919297+05:30,30,8
32,975943,500,517,1754641284020,2025-08-08 13:51:24.020170+05:30,30,8
33,976044,501,510,1754641284120,2025-08-08 13:51:24.120780+05:30,30,8
34,976145,500,506,1754641284221,2025-08-08 13:51:24.221706+05:30,30,8
35,976245,499,510,1754641284322,2025-08-08 13:51:24.322500+05:30,30,8
36,976347,497,509,1754641284423,2025-08-08 13:51:24.423382+05:30,30,8
37,976447,497,510,1754641284524,2025-08-08 13:51:24.524128+05:30,30,8
38,976548,496,512,1754641284624,2025-08-08 13:51:24.624966+05:30,30,8
39,976649,496,511,1754641284725,2025-08-08 13:51:24.725917+05:30,30,8
40,976749,495,517,1754641284826,2025-08-08 13:51:24.826681+05:30,30,8
41,976850,494,508,1754641284927,2025-08-08 13:51:24.927547+05:30,30,8
42,976951,494,510,1754641285028,2025-08-08 13:51:25.028348+05:30,30,8
43,977052,494,512,1754641285129,2025-08-08 13:51:25.129173+05:30,30,8
44,977153,494,510,1754641285230,2025-08-08 13:51:25.230155+05:30,30,8
45,977254,494,510,1754641285330,2025-08-08 13:51:25.330912+05:30,30,8
46,977354,494,509,1754641285431,2025-08-08 13:51:25.431752+05:30,30,8
47,977456,494,509,1754641285532,2025-08-08 13:51:25.532587+05:30,30,8
48,977556,493,520,1754641285633,2025-08-08 13:51:25.633350+05:30,30,8
49,977657,494,511,1754641285734,2025-08-08 13:51:25.734259+05:30,30,8
50,977758,494,507,1754641285835,2025-08-08 13:51:25.835110+05:30,30,8
51,977859,494,509,1754641285935,2025-08-08 13:51:25.935837+05:30,30,8
52,977959,495,509,1754641286036,2025-08-08 13:51:26.036807+05:30,30,8
53,978061,495,511,1754641286137,2025-08-08 13:51:26.137661+05:30,30,8
54,978161,495,510,1754641286238,2025-08-08 13:51:26.238609+05:30,30,8
55,978263,495,510,1754641286339,2025-08-08 13:51:26.339416+05:30,30,8
56,978363,495,515,1754641286440,2025-08-08 13:51:26.440256+05:30,30,8
57,978464,495,512,1754641286541,2025-08-08 13:51:26.541012+05:30,30,8
58,978565,496,507,1754641286641,2025-08-08 13:51:26.641770+05:30,30,8
59,978665,496,513,1754641286742,2025-08-08 13:51:26.742584+05:30,30,8
60,978766,496,504,1754641286843,2025-08-08 13:51:26.843522+05:30,30,8
61,978867,496,510,1754641286944,2025-08-08 13:51:26.944464+05:30,30,8
62,978968,496,511,1754641287045,2025-08-08 13:51:27.045127+05:30,30,8
63,979068,496,515,1754641287145,2025-08-08 13:51:27.145890+05:30,30,8
64,979170,495,516,1754641287246,2025-08-08 13:51:27.246796+05:30,30,8
65,979270,495,508,1754641287347,2025-08-08 13:51:27.347641+05:30,30,8
66,979372,496,509,1754641287448,2025-08-08 13:51:27.448446+05:30,30,8
67,979472,496,510,1754641287549,2025-08-08 13:51:27.549294+05:30,30,8
68,979573,495,507,1754641287650,2025-08-08 13:51:27.650039+05:30,30,8
69,979674,495,511,1754641287750,2025-08-08 13:51:27.750957+05:30,30,8
70,979775,494,508,1754641287851,2025-08-08 13:51:27.851797+05:30,30,8
71,979875,494,517,1754641287952,2025-08-08 13:51:27.952532+05:30,30,8
72,979977,495,511,1754641288053,2025-08-08 13:51:28.053496+05:30,30,8
73,980077,495,509,1754641288154,2025-08-08 13:51:28.154256+05:30,30,8
74,980178,495,511,1754641288255,2025-08-08 13:51:28.255062+05:30,30,8
75,980279,496,510,1754641288356,2025-08-08 13:51:28.356121+05:30,30,8
76,980380,497,508,1754641288456,2025-08-08 13:51:28.456864+05:30,30,8
77,980481,496,511,1754641288557,2025-08-08 13:51:28.557592+05:30,30,8
78,980581,496,509,1754641288658,2025-08-08 13:51:28.658442+05:30,30,8
79,980682,497,515,1754641288759,2025-08-08 13:51:28.759342+05:30,30,8
80,980783,497,516,1754641288860,2025-08-08 13:51:28.860166+05:30,30,8
81,980884,498,510,1754641288960,2025-08-08 13:51:28.960947+05:30,30,8
