,Time_series,GSR,HR,timestamp,time2,subject,video_id
0,2102875,494,523,1754036142207,2025-08-01 13:45:42.207522+05:30,11,5
1,2102975,490,516,1754036142308,2025-08-01 13:45:42.308459+05:30,11,5
2,2103076,494,523,1754036142409,2025-08-01 13:45:42.409355+05:30,11,5
3,2103177,495,523,1754036142510,2025-08-01 13:45:42.510192+05:30,11,5
4,2103278,493,517,1754036142611,2025-08-01 13:45:42.611499+05:30,11,5
5,2103378,494,519,1754036142712,2025-08-01 13:45:42.712282+05:30,11,5
6,2103480,495,519,1754036142812,2025-08-01 13:45:42.812965+05:30,11,5
7,2103580,498,524,1754036142914,2025-08-01 13:45:42.914035+05:30,11,5
8,2103682,498,522,1754036143014,2025-08-01 13:45:43.014636+05:30,11,5
9,2103782,499,520,1754036143115,2025-08-01 13:45:43.115577+05:30,11,5
10,2103883,500,521,1754036143216,2025-08-01 13:45:43.216402+05:30,11,5
11,2103984,499,519,1754036143317,2025-08-01 13:45:43.317258+05:30,11,5
12,2104085,500,521,1754036143418,2025-08-01 13:45:43.418093+05:30,11,5
13,2104186,499,519,1754036143519,2025-08-01 13:45:43.519143+05:30,11,5
14,2104287,498,519,1754036143620,2025-08-01 13:45:43.620342+05:30,11,5
15,2104388,497,518,1754036143721,2025-08-01 13:45:43.721062+05:30,11,5
16,2104488,496,517,1754036143821,2025-08-01 13:45:43.821687+05:30,11,5
17,2104590,494,518,1754036143922,2025-08-01 13:45:43.922490+05:30,11,5
18,2104690,494,522,1754036144023,2025-08-01 13:45:44.023328+05:30,11,5
19,2104792,495,522,1754036144124,2025-08-01 13:45:44.124325+05:30,11,5
20,2104892,494,523,1754036144225,2025-08-01 13:45:44.225127+05:30,11,5
21,2104993,493,521,1754036144326,2025-08-01 13:45:44.326171+05:30,11,5
22,2105094,493,521,1754036144426,2025-08-01 13:45:44.426894+05:30,11,5
23,2105195,492,515,1754036144527,2025-08-01 13:45:44.527930+05:30,11,5
24,2105295,492,521,1754036144628,2025-08-01 13:45:44.628657+05:30,11,5
25,2105397,497,524,1754036144729,2025-08-01 13:45:44.729628+05:30,11,5
26,2105497,499,527,1754036144830,2025-08-01 13:45:44.830378+05:30,11,5
27,2105598,501,528,1754036144931,2025-08-01 13:45:44.931358+05:30,11,5
28,2105699,503,523,1754036145032,2025-08-01 13:45:45.032160+05:30,11,5
29,2105800,503,523,1754036145133,2025-08-01 13:45:45.133181+05:30,11,5
30,2105901,502,520,1754036145233,2025-08-01 13:45:45.233913+05:30,11,5
31,2106002,501,522,1754036145335,2025-08-01 13:45:45.334996+05:30,11,5
32,2106102,500,522,1754036145435,2025-08-01 13:45:45.435720+05:30,11,5
