time,valence,arousal,videoID
1755182220338,5.0,5.0,0
1755182341561,5.0,5.0,8
1755182358467,5.0,4.73,8
1755182362748,5.0,5.0,8
1755182367098,4.73,5.0,8
1755182368500,4.47,5.0,8
1755182369698,4.2,5.0,8
1755182372349,3.93,5.0,8
1755182377523,3.93,4.73,8
1755182378085,3.93,4.47,8
1755182378891,3.93,4.2,8
1755182379907,3.93,3.93,8
1755182381098,3.93,3.67,8
1755182403172,3.93,3.93,8
1755182404388,3.93,4.2,8
1755182404963,3.93,4.47,8
1755182406586,3.93,4.73,8
1755182407178,3.93,5.0,8
1755182407690,3.93,5.27,8
1755182408549,3.93,5.53,8
1755182409109,3.93,5.8,8
1755182409731,3.93,6.07,8
1755182410700,3.93,6.33,8
1755182422469,3.93,6.6,8
1755182426451,3.93,6.87,8
1755182428319,3.93,7.13,8
1755182433507,3.93,7.4,8
1755182444350,3.93,7.67,8
1755182446806,4.2,7.67,8
1755182448166,3.93,7.67,8
1755182450934,3.93,7.93,8
1755182457582,3.93,8.2,8
1755182458679,3.93,8.47,8
1755182465903,3.93,8.73,8
1755182477460,3.67,8.73,8
1755182479182,3.67,8.47,8
1755182479958,3.67,8.2,8
1755182480885,3.67,7.93,8
1755182482516,3.67,8.2,8
1755182483124,3.67,8.47,8
1755182483588,3.4,8.47,8
1755182484133,3.4,8.73,8
1755182489118,5.0,5.0,0
1755182609251,5.0,5.0,2
1755182614239,5.27,5.0,2
1755182615352,5.53,5.0,2
1755182621800,5.8,5.0,2
1755182629953,5.8,4.73,2
1755182631826,5.8,4.47,2
1755182632585,5.8,4.2,2
1755182634016,5.8,3.93,2
1755182634952,5.8,3.67,2
1755182635840,5.8,3.4,2
1755182638033,5.8,3.13,2
1755182662743,5.53,3.13,2
1755182667027,5.27,3.13,2
1755182680290,5.0,3.13,2
1755182687116,5.0,2.87,2
1755182689200,5.0,2.6,2
1755182693609,4.73,2.6,2
1755182698538,4.47,2.6,2
1755182714668,4.47,2.87,2
1755182716002,4.47,3.13,2
1755182719001,4.47,3.4,2
1755182722891,4.47,3.67,2
1755182724172,4.47,3.93,2
1755182727691,4.47,4.2,2
1755182728313,4.73,4.2,2
1755182730209,5.0,4.2,2
1755182731834,5.27,4.2,2
1755182732333,5.53,4.2,2
1755182732364,5.8,4.2,2
1755182733050,5.8,4.47,2
1755182733666,5.8,4.73,2
1755182734948,5.8,5.0,2
