Start,Border,End,Score
1751709909125,1751709914125,1751709919125,3.999842124180475e-10
1751709914125,1751709919125,1751709924125,5.263153596060781
1751709919125,1751709924125,1751709929125,0.7384233444776541
1751709924125,1751709929125,1751709934125,3.9998393486229133e-10
1751709929125,1751709934125,1751709939125,3.9998393486229133e-10
1751709934125,1751709939125,1751709944125,3.9998393486229133e-10
1751709939125,1751709944125,1751709949125,3.9998393486229133e-10
1751709944125,1751709949125,1751709954125,3.9998393486229133e-10
1751709949125,1751709954125,1751709959125,3.9998393486229133e-10
1751709954125,1751709959125,1751709964125,3.9998393486229133e-10
1751709959125,1751709964125,1751709969125,3.9998393486229133e-10
1751709964125,1751709969125,1751709974125,3.9998393486229133e-10
1751709969125,1751709974125,1751709979125,3.9998393486229133e-10
1751709974125,1751709979125,1751709984125,3.9998393486229133e-10
1751709979125,1751709984125,1751709989125,3.9998393486229133e-10
1751709984125,1751709989125,1751709994125,3.9998393486229133e-10
1751709989125,1751709994125,1751709999125,3.9998393486229133e-10
1751709994125,1751709999125,1751710004125,3.9998393486229133e-10
1751709999125,1751710004125,1751710009125,3.9998393486229133e-10
1751710004125,1751710009125,1751710014125,3.9998393486229133e-10
1751710009125,1751710014125,1751710019125,3.9998393486229133e-10
1751710014125,1751710019125,1751710024125,3.9998393486229133e-10
1751710019125,1751710024125,1751710029125,3.9998393486229133e-10
1751710024125,1751710029125,1751710034125,3.9998393486229133e-10
1751710029125,1751710034125,1751710039125,3.9998393486229133e-10
1751710034125,1751710039125,1751710044125,3.9998393486229133e-10
1751710039125,1751710044125,1751710049125,3.9998393486229133e-10
1751710044125,1751710049125,1751710054125,3.9998393486229133e-10
1751710049125,1751710054125,1751710059125,3.9998393486229133e-10
1751710054125,1751710059125,1751710064125,3.9998393486229133e-10
1751710059125,1751710064125,1751710069125,3.9998393486229133e-10
1751710064125,1751710069125,1751710074125,3.9998393486229133e-10
1751710069125,1751710074125,1751710079125,3.9998393486229133e-10
1751710074125,1751710079125,1751710084125,3.9998393486229133e-10
1751710079125,1751710084125,1751710089125,3.9998393486229133e-10
1751710084125,1751710089125,1751710094125,3.9998393486229133e-10
1751710089125,1751710094125,1751710099125,3.9998393486229133e-10
1751710094125,1751710099125,1751710104125,3.9998393486229133e-10
1751710099125,1751710104125,1751710109125,3.9998393486229133e-10
1751710104125,1751710109125,1751710114125,3.9998393486229133e-10
1751710109125,1751710114125,1751710119125,3.9998393486229133e-10
1751710114125,1751710119125,1751710124125,3.9998393486229133e-10
1751710119125,1751710124125,1751710129125,3.9998393486229133e-10
1751710124125,1751710129125,1751710134125,3.9998393486229133e-10
1751710129125,1751710134125,1751710139125,3.9998393486229133e-10
1751710134125,1751710139125,1751710144125,3.9998393486229133e-10
1751710139125,1751710144125,1751710149125,3.9998393486229133e-10
1751710144125,1751710149125,1751710154125,3.9998393486229133e-10
1751710149125,1751710154125,1751710159125,3.9998393486229133e-10
1751710154125,1751710159125,1751710164125,3.9998393486229133e-10
1751710159125,1751710164125,1751710169125,3.9998393486229133e-10
1751710164125,1751710169125,1751710174125,3.9998393486229133e-10
1751710169125,1751710174125,1751710179125,3.9998393486229133e-10
1751710174125,1751710179125,1751710184125,3.9998393486229133e-10
1751710179125,1751710184125,1751710189125,3.9998393486229133e-10
1751710184125,1751710189125,1751710194125,3.9998393486229133e-10
1751710189125,1751710194125,1751710199125,3.9998393486229133e-10
1751710194125,1751710199125,1751710204125,3.9998393486229133e-10
1751710199125,1751710204125,1751710209125,3.9998393486229133e-10
1751710204125,1751710209125,1751710214125,3.9998393486229133e-10
1751710209125,1751710214125,1751710219125,3.9998393486229133e-10
1751710214125,1751710219125,1751710224125,3.9998393486229133e-10
1751710219125,1751710224125,1751710229125,3.9998393486229133e-10
1751710224125,1751710229125,1751710234125,3.9998393486229133e-10
1751710229125,1751710234125,1751710239125,3.9998393486229133e-10
1751710234125,1751710239125,1751710244125,3.9998393486229133e-10
1751710239125,1751710244125,1751710249125,3.9998393486229133e-10
1751710244125,1751710249125,1751710254125,3.9998393486229133e-10
1751710249125,1751710254125,1751710259125,3.9998393486229133e-10
1751710254125,1751710259125,1751710264125,3.9998393486229133e-10
1751710259125,1751710264125,1751710269125,3.9998393486229133e-10
1751710264125,1751710269125,1751710274125,3.9998393486229133e-10
1751710269125,1751710274125,1751710279125,3.9998393486229133e-10
1751710274125,1751710279125,1751710284125,3.9998393486229133e-10
1751710279125,1751710284125,1751710289125,3.9998393486229133e-10
1751710284125,1751710289125,1751710294125,3.9998393486229133e-10
1751710289125,1751710294125,1751710299125,3.9998393486229133e-10
1751710294125,1751710299125,1751710304125,3.9998393486229133e-10
1751710299125,1751710304125,1751710309125,3.9998393486229133e-10
1751710304125,1751710309125,1751710314125,3.9998393486229133e-10
1751710309125,1751710314125,1751710319125,3.9998393486229133e-10
1751710314125,1751710319125,1751710324125,3.9998393486229133e-10
1751710319125,1751710324125,1751710329125,3.9998393486229133e-10
1751710324125,1751710329125,1751710334125,3.9998393486229133e-10
1751710329125,1751710334125,1751710339125,3.9998393486229133e-10
1751710334125,1751710339125,1751710344125,3.9998393486229133e-10
1751710339125,1751710344125,1751710349125,3.9998393486229133e-10
1751710344125,1751710349125,1751710354125,3.9998393486229133e-10
