Start,Border,End,Score
1751712024725,1751712027225,1751712029725,0.0
1751712029725,1751712032225,1751712034725,0.0
1751712034725,1751712037225,1751712039725,0.0
1751712039725,1751712042225,1751712044725,0.0
1751712044725,1751712047225,1751712049725,0.0
1751712049725,1751712052225,1751712054725,0.0
1751712054725,1751712057225,1751712059725,0.0
1751712059725,1751712062225,1751712064725,0.0
1751712064725,1751712067225,1751712069725,0.0
1751712069725,1751712072225,1751712074725,0.0
1751712074725,1751712077225,1751712079725,0.0
1751712079725,1751712082225,1751712084725,0.0
1751712084725,1751712087225,1751712089725,0.0
1751712089725,1751712092225,1751712094725,0.0
1751712094725,1751712097225,1751712099725,0.0
1751712099725,1751712102225,1751712104725,0.0
1751712104725,1751712107225,1751712109725,0.0
1751712109725,1751712112225,1751712114725,0.0
1751712114725,1751712117225,1751712119725,0.0
1751712119725,1751712122225,1751712124725,0.0
1751712124725,1751712127225,1751712129725,0.0
1751712129725,1751712132225,1751712134725,0.0
1751712134725,1751712137225,1751712139725,0.0
1751712139725,1751712142225,1751712144725,0.0
1751712144725,1751712147225,1751712149725,0.0
1751712149725,1751712152225,1751712154725,0.0
1751712154725,1751712157225,1751712159725,0.0
1751712159725,1751712162225,1751712164725,0.0
1751712164725,1751712167225,1751712169725,0.0
1751712169725,1751712172225,1751712174725,0.0
