User,Threshold_0.1,Threshold_0.2,Threshold_0.30000000000000004,Threshold_0.4,Threshold_0.5,Threshold_0.6000000000000001,Threshold_0.7000000000000001,Threshold_0.8,Threshold_0.9
1,27,72,62,95,95,80,101,109,111
2,17,5,40,79,57,77,87,73,85
3,14,22,31,55,48,74,68,112,106
4,101,94,90,101,111,105,102,108,111
5,68,60,91,106,100,107,108,105,113
6,75,61,92,71,109,96,111,112,114
7,49,62,76,65,104,76,103,95,106
8,18,57,60,54,65,36,73,97,104
9,53,41,68,62,54,74,90,94,86
10,73,54,59,92,104,86,106,112,109
11,68,76,65,89,41,86,86,76,97
12,56,61,66,75,60,61,94,93,97
13,53,94,100,77,70,95,104,111,111
14,87,86,93,84,90,85,90,93,61
15,69,57,57,48,57,74,54,84,93
16,61,34,49,60,100,50,85,100,104
17,53,55,86,56,82,60,101,105,104
18,86,104,90,101,102,64,103,111,101
19,76,69,62,81,83,82,97,95,95
20,88,67,96,91,57,82,87,95,110
21,85,72,87,67,72,83,94,89,70
22,45,63,55,32,71,77,100,103,111
23,104,104,100,106,87,111,112,111,111
24,86,69,83,86,72,87,94,100,97
25,63,72,71,89,77,77,74,109,97
26,74,69,73,75,97,85,97,87,83
27,91,103,113,108,105,100,113,113,105
28,48,79,66,41,98,73,76,80,85
29,26,90,100,75,69,106,99,102,89
30,49,31,62,35,73,72,91,79,75
31,91,89,86,98,104,95,95,96,96
32,72,59,66,79,64,68,90,92,92
33,100,107,93,88,103,83,104,108,108
34,73,97,84,111,52,88,109,103,88
35,91,91,90,76,109,107,112,90,102
36,98,100,112,106,110,112,112,112,112
37,95,94,96,106,104,106,103,103,112
38,87,100,101,88,101,94,92,104,97
39,73,55,105,77,84,96,104,89,85
40,68,76,85,74,74,75,91,88,80
