User,Threshold_0.1,Threshold_0.2,Threshold_0.3,Threshold_0.4,Threshold_0.5,Threshold_0.6,Threshold_0.7,Threshold_0.8,Threshold_0.9
1,0.8382352941,0.8970588235,0.9558823529,0.9558823529,0.9558823529,0.9558823529,0.9558823529,0.9558823529,0.9705882353
2,0.8235294118,0.8235294118,0.8529411765,0.8970588235,0.9264705882,0.8970588235,0.9117647059,0.9117647059,0.9411764706
3,0.9117647059,0.9264705882,0.9411764706,0.9411764706,0.9558823529,0.9558823529,0.9705882353,0.9558823529,0.9705882353
4,0.9852941176,0.9852941176,0.9852941176,0.9852941176,0.9852941176,0.9852941176,1.0,1.0,1.0
5,0.9705882353,0.9852941176,1.0,1.0,1.0,0.9852941176,0.9852941176,0.9705882353,0.9411764706
6,0.6764705882,0.7647058824,0.8382352941,0.8823529412,0.8529411765,0.8970588235,0.8676470588,0.8970588235,0.8823529412
7,0.9705882353,0.9411764706,0.9117647059,0.8970588235,0.8970588235,0.8970588235,0.8970588235,0.8970588235,0.8970588235
8,0.9705882353,1.0,1.0,0.9852941176,1.0,0.9264705882,0.9411764706,0.9264705882,0.9264705882
9,0.7352941176,0.7647058824,0.8676470588,0.8529411765,0.8823529412,0.9558823529,0.9411764706,0.9705882353,1.0
10,0.9411764706,0.9852941176,1.0,0.9705882353,1.0,1.0,1.0,1.0,0.9558823529
11,1.0,1.0,1.0,1.0,1.0,1.0,0.9852941176,0.9852941176,0.9852941176
12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.9705882353,0.9558823529,0.9558823529,0.9411764706,0.9558823529,0.9264705882,0.9411764706,0.9264705882,0.9264705882
14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,0.9705882353,0.9852941176,1.0,0.9705882353,0.9852941176,0.9852941176,0.9852941176,0.9852941176,0.9852941176
16,0.8088235294,0.8529411765,0.9117647059,0.9264705882,0.9117647059,0.9117647059,0.9264705882,0.9264705882,0.9411764706
17,0.9649122807,0.8947368421,0.9824561404,0.9473684211,0.9298245614,0.8947368421,0.8947368421,0.8947368421,0.8070175439
18,0.884057971,0.8695652174,0.7971014493,0.7536231884,0.7536231884,0.7391304348,0.7101449275,0.7391304348,0.7101449275
19,0.3428571429,0.3428571429,0.3428571429,0.3428571429,0.3714285714,0.9142857143,0.9285714286,0.9571428571,0.9714285714
20,0.9,0.9,0.9,0.8857142857,0.8857142857,0.9857142857,0.8857142857,0.9714285714,0.9857142857
21,0.9384615385,0.9384615385,0.9384615385,0.9384615385,0.9384615385,0.9384615385,0.9846153846,0.9846153846,0.9846153846
22,0.7352941176,0.7352941176,0.7352941176,0.7352941176,0.7352941176,1.0,0.9852941176,1.0,0.9852941176
23,0.9852941176,0.9852941176,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0.9852941176,0.9852941176,0.9852941176,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353
25,0.9705882353,0.9705882353,0.9852941176,0.9705882353,0.9705882353,0.9705882353,0.9852941176,0.9852941176,1.0
26,0.8529411765,0.8529411765,0.8676470588,0.8676470588,0.9264705882,0.8970588235,0.9117647059,0.9558823529,0.9852941176
27,0.9264705882,0.9852941176,0.9264705882,0.9852941176,0.9852941176,0.9852941176,0.9852941176,0.9852941176,0.9705882353
28,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9705882353
29,0.9558823529,0.9705882353,0.9558823529,0.9705882353,0.9705882353,0.9705882353,1.0,1.0,1.0
30,0.9852941176,1.0,1.0,1.0,0.9852941176,0.9411764706,0.9852941176,0.9852941176,0.9852941176
31,0.8823529412,0.8823529412,0.8823529412,0.8823529412,0.8823529412,0.8823529412,0.8823529412,0.8823529412,0.8823529412
32,0.9852941176,0.9852941176,1.0,0.9852941176,1.0,1.0,1.0,1.0,1.0
33,0.9852941176,0.9705882353,0.9264705882,0.9705882353,0.9558823529,0.9705882353,0.9558823529,0.9411764706,0.9117647059
34,0.9852941176,0.9852941176,0.9852941176,0.9852941176,1.0,0.9852941176,1.0,0.9852941176,0.9705882353
35,0.9411764706,0.9852941176,0.9852941176,0.9852941176,1.0,1.0,1.0,1.0,1.0
36,0.9852941176,0.9852941176,0.9852941176,0.9705882353,0.9852941176,0.9852941176,0.9852941176,0.9558823529,0.9705882353
37,0.9558823529,0.9558823529,0.9705882353,0.9705882353,0.9705882353,0.9705882353,0.9558823529,0.9264705882,0.9264705882
38,1.0,1.0,0.9852941176,0.9852941176,0.9411764706,0.9411764706,0.9852941176,0.9558823529,0.9411764706
39,0.9852941176,1.0,1.0,1.0,0.9705882353,1.0,1.0,1.0,1.0
40,0.9705882353,0.9852941176,0.9705882353,0.9705882353,0.9705882353,0.9852941176,0.9852941176,0.9705882353,0.9705882353
