,F1_macro
1.0,0.39285714285714285
2.0,0.34615384615384615
3.0,0.3761467889908257
4.0,0.423728813559322
5.0,0.5504807692307692
6.0,0.46164346164346165
7.0,0.8028985507246377
8.0,0.5286264441591785
9.0,0.4728682170542636
10.0,0.46354291178579965
11.0,0.2885789014821273
12.0,0.37981759340982646
13.0,0.42235813795446825
14.0,0.47998200629779575
15.0,0.48091603053435117
16.0,0.48484848484848486
17.0,0.44189016602809705
18.0,0.5012048192771085
19.0,0.46070878274268107
20.0,0.45615982241953384
21.0,0.4090909090909091
22.0,0.4962962962962963
23.0,0.42235813795446825
24.0,0.48872180451127817
25.0,0.26881720430107525
26.0,0.4603174603174603
27.0,0.46875
28.0,0.39285714285714285
29.0,0.456
30.0,0.3644859813084112
31.0,0.45161290322580644
32.0,0.6392156862745098
33.0,0.6538181818181819
34.0,0.5041666666666667
35.0,0.5834234234234235
36.0,0.24444444444444444
37.0,0.487758945386064
38.0,0.25946969696969696
39.0,0.3349193761564896
40.0,0.40350877192982454
