,F1_weighted
1.0,0.44012605042016806
2.0,0.6515837104072398
3.0,0.7522935779816514
4.0,0.6231306081754735
5.0,0.7044683257918551
6.0,0.5843570843570844
7.0,0.8950554134697357
8.0,0.5616552140753607
9.0,0.8901048791609667
10.0,0.5415055336023962
11.0,0.29042515000769276
12.0,0.670863402730907
13.0,0.5043073294557374
14.0,0.7004048582995951
15.0,0.891109115401886
16.0,0.9696969696969697
17.0,0.5398041719880801
18.0,0.4997380827658461
19.0,0.724851419766674
20.0,0.6879023307436182
21.0,0.7300699300699302
22.0,0.9779956427015251
23.0,0.6989366592712518
24.0,0.9486952675807164
25.0,0.4506641366223909
26.0,0.8394024276377217
27.0,0.8272058823529411
28.0,0.7857142857142857
29.0,0.7644705882352941
30.0,0.6324903793293019
31.0,0.7438330170777988
32.0,0.6816608996539792
33.0,0.8927914438502673
34.0,0.816421568627451
35.0,0.784864864864865
36.0,0.17254901960784313
37.0,0.7536280048742662
38.0,0.3619652406417112
39.0,0.5518185069428247
40.0,0.7120743034055728
