,TPR
1.0,0.42105263157894735
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.4166666666666667
6.0,0.23529411764705882
7.0,0.6363636363636364
8.0,0.25
9.0,0.0
10.0,0.3888888888888889
11.0,0.37142857142857144
12.0,0.3333333333333333
13.0,0.038461538461538464
14.0,0.07142857142857142
15.0,0.0
16.0,0.0
17.0,0.10526315789473684
18.0,0.3142857142857143
19.0,0.1
20.0,0.5
21.0,0.0
22.0,0.0
23.0,0.14285714285714285
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.7777777777777778
33.0,0.3333333333333333
34.0,0.16666666666666666
35.0,0.5
36.0,0.0
37.0,0.1
38.0,0.05555555555555555
39.0,0.125
40.0,0.0
