User,Threshold_0.1,Threshold_0.2,Threshold_0.30000000000000004,Threshold_0.4,Threshold_0.5,Threshold_0.6000000000000001,Threshold_0.7000000000000001,Threshold_0.8,Threshold_0.9
1,0.9387755102040817,0.9183673469387755,0.9183673469387755,0.7551020408163265,0.12244897959183673,0.0,0.0,0.0,0.0
2,0.90625,0.359375,0.21875,0.046875,0.015625,0.015625,0.0,0.0,0.0
3,1.0,0.8088235294117647,0.4117647058823529,0.23529411764705882,0.08823529411764706,0.04411764705882353,0.0,0.0,0.0
4,1.0,1.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0
5,0.9464285714285714,0.75,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6078431372549019,0.5490196078431373,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
7,0.9473684210526315,0.17543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,1.0,1.0,0.975,0.65,0.325,0.05,0.0,0.0
9,0.6875,0.328125,0.109375,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,1.0,1.0,0.8,0.2,0.0,0.0,0.0,0.0
11,1.0,0.9393939393939394,0.9090909090909091,0.48484848484848486,0.030303030303030304,0.0,0.0,0.0,0.0
12,1.0,0.8461538461538461,0.46153846153846156,0.2923076923076923,0.0,0.0,0.0,0.0,0.0
13,0.8333333333333334,0.38095238095238093,0.21428571428571427,0.047619047619047616,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.0,0.0
14,0.6111111111111112,0.3148148148148148,0.16666666666666666,0.05555555555555555,0.037037037037037035,0.0,0.0,0.0,0.0
15,0.5873015873015873,0.19047619047619047,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0
16,0.8970588235294118,0.8382352941176471,0.6911764705882353,0.014705882352941176,0.0,0.0,0.0,0.0,0.0
17,0.9736842105263158,0.5263157894736842,0.07894736842105263,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0
18,1.0,1.0,0.6470588235294118,0.38235294117647056,0.3235294117647059,0.0,0.0,0.0,0.0
19,0.25,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,1.0,0.984375,0.953125,0.5,0.0,0.0,0.0,0.0
21,1.0,1.0,0.9655172413793104,0.7413793103448276,0.3275862068965517,0.017241379310344827,0.0,0.0,0.0
22,0.5970149253731343,0.208955223880597,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,0.0,0.0
23,0.8032786885245902,0.7868852459016393,0.7704918032786885,0.13114754098360656,0.0,0.0,0.0,0.0,0.0
24,1.0,0.8333333333333334,0.3484848484848485,0.10606060606060606,0.0,0.0,0.0,0.0,0.0
25,1.0,1.0,0.9122807017543859,0.6842105263157895,0.3684210526315789,0.12280701754385964,0.0,0.0,0.0
26,0.8709677419354839,0.5967741935483871,0.0967741935483871,0.016129032258064516,0.0,0.0,0.0,0.0,0.0
27,0.95,0.95,0.8833333333333333,0.3,0.0,0.0,0.0,0.0,0.0
28,0.8382352941176471,0.6764705882352942,0.4264705882352941,0.17647058823529413,0.0,0.0,0.0,0.0,0.0
29,0.8596491228070176,0.17543859649122806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.0,1.0,1.0,1.0,1.0,0.4067796610169492,0.01694915254237288,0.0,0.0
31,1.0,0.9642857142857143,0.6071428571428571,0.017857142857142856,0.0,0.0,0.0,0.0,0.0
32,1.0,1.0,1.0,0.58,0.02,0.0,0.0,0.0,0.0
33,0.8548387096774194,0.8387096774193549,0.20967741935483872,0.0,0.0,0.0,0.0,0.0,0.0
34,1.0,1.0,1.0,1.0,0.8387096774193549,0.1774193548387097,0.0,0.0,0.0
35,0.9333333333333333,0.7833333333333333,0.6666666666666666,0.21666666666666667,0.05,0.0,0.0,0.0,0.0
36,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.9137931034482759,0.4827586206896552,0.20689655172413793,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
38,1.0,1.0,0.9,0.46,0.2,0.06,0.0,0.0,0.0
39,1.0,0.6166666666666667,0.45,0.25,0.11666666666666667,0.0,0.0,0.0,0.0
40,0.5833333333333334,0.25,0.08333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0
