User,Threshold_0.1,Threshold_0.2,Threshold_0.30000000000000004,Threshold_0.4,Threshold_0.5,Threshold_0.6000000000000001,Threshold_0.7000000000000001,Threshold_0.8,Threshold_0.9
1,1.0,1.0,1.0,1.0,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.6842105263157895,0.21052631578947367
2,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.25
3,nan,nan,nan,nan,nan,nan,nan,nan,nan
4,1.0,1.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.08333333333333333
6,1.0,0.9411764705882353,0.7647058823529411,0.5882352941176471,0.47058823529411764,0.47058823529411764,0.23529411764705882,0.0,0.0
7,1.0,1.0,1.0,1.0,0.9090909090909091,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.0
8,1.0,1.0,1.0,1.0,0.6428571428571429,0.32142857142857145,0.17857142857142858,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,0.75,0.25,0.0,0.0
10,1.0,1.0,1.0,1.0,0.8333333333333334,0.7777777777777778,0.4444444444444444,0.2777777777777778,0.05555555555555555
11,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.3142857142857143,0.17142857142857143,0.0
12,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,1.0,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.8076923076923077,0.19230769230769232,0.038461538461538464,0.0
14,1.0,1.0,1.0,1.0,0.2857142857142857,0.07142857142857142,0.07142857142857142,0.0,0.0
15,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.2,0.0
16,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,1.0,1.0,1.0,1.0,0.6842105263157895,0.3157894736842105,0.21052631578947367,0.05263157894736842,0.0
18,1.0,1.0,1.0,0.8857142857142857,0.5714285714285714,0.45714285714285713,0.42857142857142855,0.42857142857142855,0.42857142857142855
19,1.0,1.0,1.0,0.7,0.6,0.5,0.4,0.3,0.0
20,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.0
21,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.14285714285714285,0.0,0.0
22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0,1.0,1.0,1.0,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.0,0.0
24,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.0,1.0,1.0,1.0,0.5454545454545454,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0
26,1.0,0.8333333333333334,0.5,0.5,0.3333333333333333,0.0,0.0,0.0,0.0
27,1.0,1.0,1.0,1.0,0.75,0.5,0.0,0.0,0.0
28,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,1.0,1.0,1.0,0.5454545454545454,0.2727272727272727,0.0,0.0,0.0,0.0
30,1.0,1.0,1.0,1.0,1.0,0.5555555555555556,0.0,0.0,0.0
31,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
32,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.16666666666666666,0.0,0.0
33,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
34,1.0,1.0,1.0,1.0,0.8333333333333334,0.5,0.16666666666666666,0.0,0.0
35,1.0,1.0,1.0,1.0,0.875,0.375,0.375,0.375,0.0
36,1.0,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.8863636363636364,0.09090909090909091,0.022727272727272728,0.0,0.0
37,1.0,0.9,0.9,0.9,0.7,0.5,0.2,0.0,0.0
38,1.0,1.0,1.0,0.9444444444444444,0.8888888888888888,0.7777777777777778,0.7222222222222222,0.16666666666666666,0.0
39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.125
40,1.0,1.0,1.0,1.0,0.75,0.75,0.5,0.125,0.0
