time,valence,arousal,videoID
1754034052624,5,5,0
1754034174117,5,5,4
1754034251267,5,4.73,4
1754034251835,5,4.47,4
1754034252163,5,4.2,4
1754034252487,5,3.93,4
1754034252800,5,3.67,4
1754034253377,5.27,3.67,4
1754034254559,5.27,3.93,4
1754034254921,5.27,4.2,4
1754034255183,5.27,4.47,4
1754034255434,5.27,4.73,4
1754034255767,5.27,5,4
1754034256691,5.53,5,4
1754034257096,5.8,5,4
1754034262745,6.07,5,4
1754034269745,6.33,5,4
1754034272778,6.6,5,4
1754034306245,6.6,4.73,4
1754034312253,6.6,4.47,4
1754034314026,6.87,4.47,4
1754034314554,7.13,4.47,4
1754034316162,7.13,4.2,4
1754034330875,7.4,4.2,4
1754034337690,7.67,4.2,4
1754034338209,7.93,4.2,4
1754034339475,5,5,0
1754034373058,5,5.27,0
1754034373065,5.27,5.27,0
1754034373568,5.53,5.27,0
1754034373599,5.8,5.27,0
1754034373633,6.07,5.27,0
1754034373665,6.33,5.27,0
1754034373699,6.6,5.27,0
1754034373733,6.87,5.27,0
1754034373750,7.13,5.27,0
1754034373782,7.4,5.27,0
1754034373816,7.67,5.27,0
1754034373850,7.93,5.27,0
1754034373963,7.93,5.53,0
1754034374462,7.93,5.8,0
1754034374492,7.93,6.07,0
1754034374522,7.93,6.33,0
1754034374555,7.93,6.6,0
1754034374586,7.93,6.87,0
1754034374616,7.93,7.13,0
1754034374650,7.93,7.4,0
1754034374682,7.93,7.67,0
1754034374716,7.93,7.93,0
1754034374834,7.93,8.2,0
1754034375564,7.93,7.93,0
1754034376061,7.93,7.67,0
1754034376091,7.93,7.4,0
1754034376122,7.93,7.13,0
1754034376152,7.93,6.87,0
1754034376182,7.93,6.6,0
1754034376215,7.93,6.33,0
1754034376395,7.93,6.07,0
1754034376570,7.93,5.8,0
1754034376859,7.93,5.53,0
1754034378164,7.93,5.27,0
1754034378610,7.67,5.27,0
1754034378826,7.4,5.27,0
1754034379044,7.13,5.27,0
1754034379242,6.87,5.27,0
1754034379426,6.6,5.27,0
1754034379617,6.33,5.27,0
1754034379819,6.07,5.27,0
1754034380065,5.8,5.27,0
1754034380762,5.53,5.27,0
1754034381130,5.27,5.27,0
1754034381563,5,5.27,0
1754034382402,5,5,0
1754034459775,5,5,7
1754034480422,4.73,5,7
1754034490311,4.47,5,7
1754034490999,4.2,5,7
1754034495821,3.93,5,7
1754034504869,3.67,5,7
1754034514372,3.4,5,7
1754034514838,3.13,5,7
1754034516029,3.13,5.27,7
1754034517590,3.13,5.53,7
1754034517854,3.13,5.8,7
1754034518081,3.13,6.07,7
1754034518304,3.13,6.33,7
1754034518798,3.13,6.6,7
1754034519958,3.13,6.87,7
1754034520214,3.13,7.13,7
1754034520437,3.13,7.4,7
1754034520645,3.13,7.67,7
1754034520869,3.13,7.93,7
1754034521117,3.13,8.2,7
1754034521504,3.13,8.47,7
1754034522366,3.13,8.73,7
1754034524886,3.13,8.47,7
1754034531176,3.13,8.2,7
1754034531476,3.13,7.93,7
1754034531797,3.13,7.67,7
1754034532689,2.87,7.67,7
1754034533309,2.6,7.67,7
1754034533944,2.6,7.93,7
1754034535134,2.6,7.67,7
1754034535989,2.6,7.93,7
1754034538288,2.6,8.2,7
1754034540629,2.6,8.47,7
1754034552837,2.87,8.47,7
1754034555726,2.87,8.73,7
1754034556496,2.87,8.47,7
1754034558550,2.87,8.2,7
1754034558901,2.87,7.93,7
1754034559503,2.87,7.67,7
1754034560270,2.87,7.93,7
1754034565249,2.87,8.2,7
1754034565560,2.87,8.47,7
1754034567450,2.87,8.73,7
1754034570594,2.87,8.47,7
1754034586649,2.87,8.73,7
1754034589344,2.87,8.47,7
1754034595591,2.87,8.73,7
1754034596833,2.87,8.47,7
1754034599346,2.87,8.2,7
1754034605255,2.87,8.47,7
1754034639755,2.6,8.47,7
1754034646249,2.6,8.73,7
1754034647226,2.6,8.47,7
1754034647531,2.6,8.2,7
1754034648379,2.6,8.47,7
1754034648929,2.87,8.47,7
1754034649292,3.13,8.47,7
1754034650026,3.13,8.73,7
1754034650788,3.13,8.47,7
1754034658193,5,5,0
1754034778480,5,5,1
1754034803750,5,4.73,1
1754034867186,5,4.47,1
1754034867466,5,4.2,1
1754034867730,5,3.93,1
1754034868193,4.73,3.93,1
1754034868505,4.47,3.93,1
1754034869258,4.47,3.67,1
1754034869611,4.47,3.4,1
1754034870049,4.2,3.4,1
1754034870473,3.93,3.4,1
1754034870809,3.67,3.4,1
1754034871177,3.4,3.4,1
1754034871553,3.4,3.13,1
1754034871840,3.4,2.87,1
1754034872147,3.4,2.6,1
1754034872512,3.13,2.6,1
1754034872804,2.87,2.6,1
1754034873107,2.6,2.6,1
1754034873600,2.6,2.33,1
1754034874545,2.33,2.33,1
1754034876211,2.33,2.6,1
