time,valence,arousal,videoID
1754656225277,5,5,0
1754656346575,5,5,1
1754656356480,5,5.27,1
1754656373799,5,5,1
1754656391074,5,4.73,1
1754656396745,5,4.47,1
1754656398810,5,4.73,1
1754656399722,5,4.47,1
1754656399944,5,4.2,1
1754656400138,5,3.93,1
1754656400312,5,3.67,1
1754656400482,5,3.4,1
1754656400672,5,3.13,1
1754656401065,5,3.4,1
1754656401566,5,3.67,1
1754656401594,5,3.93,1
1754656401625,5,4.2,1
1754656401656,5,4.47,1
1754656401685,5,4.73,1
1754656401719,5,5,1
1754656416993,5,4.73,1
1754656417219,5,4.47,1
1754656417408,5,4.2,1
1754656417576,5,3.93,1
1754656418305,4.73,3.93,1
1754656418850,4.73,3.67,1
1754656419081,4.73,3.4,1
1754656419272,4.73,3.13,1
1754656419449,4.73,2.87,1
1754656419889,4.73,2.6,1
1754656420457,4.47,2.6,1
1754656420651,4.2,2.6,1
1754656420825,3.93,2.6,1
1754656421025,3.67,2.6,1
1754656421288,3.67,2.33,1
1754656421617,3.4,2.33,1
1754656421930,3.13,2.33,1
1754656422145,2.87,2.33,1
1754656422560,2.87,2.6,1
1754656423337,2.87,2.33,1
1754656423963,2.6,2.33,1
1754656424769,2.6,2.6,1
1754656425268,2.6,2.33,1
1754656427578,2.33,2.33,1
1754656449524,2.6,2.33,1
1754656450022,2.87,2.33,1
1754656450053,3.13,2.33,1
1754656450086,3.4,2.33,1
1754656450120,3.67,2.33,1
1754656450152,3.93,2.33,1
1754656450465,4.2,2.33,1
1754656450707,4.47,2.33,1
1754656450884,4.73,2.33,1
1754656451186,4.73,2.6,1
1754656451687,4.73,2.87,1
1754656451720,4.73,3.13,1
1754656451753,4.73,3.4,1
1754656451786,4.73,3.67,1
1754656451820,4.73,3.93,1
1754656451838,4.73,4.2,1
1754656451869,4.73,4.47,1
1754656451903,4.73,4.73,1
1754656451936,4.73,5,1
1754656451971,4.73,5.27,1
1754656451986,4.73,5.53,1
1754656452019,4.73,5.8,1
1754656452681,4.73,6.07,1
1754656453186,5,6.07,1
1754656453386,5.27,6.07,1
1754656453585,5.53,6.07,1
1754656453953,5.53,6.33,1
1754656454147,5.53,6.6,1
1754656454322,5.53,6.87,1
1754656454490,5.53,7.13,1
1754656454690,5.53,7.4,1
1754656454913,5.53,7.67,1
1754656455259,5.53,7.93,1
1754656455771,5.53,8.2,1
1754656456188,5.8,8.2,1
1754656456387,6.07,8.2,1
1754656456561,6.33,8.2,1
1754656456754,6.6,8.2,1
1754656456945,6.87,8.2,1
1754656457324,7.13,8.2,1
1754656464002,7.4,8.2,1
1754656481186,7.4,7.93,1
1754656481571,7.4,7.67,1
1754656481899,7.67,7.67,1
1754656482323,7.67,7.4,1
1754656483385,7.93,7.4,1
1754656484674,7.93,7.67,1
1754656485090,7.93,7.93,1
1754656485995,7.93,8.2,1
1754656497571,8.2,8.2,1
1754656511772,8.47,8.2,1
1754656516171,8.2,8.2,1
1754656522365,8.47,8.2,1
1754656523727,5,5,0
1754656643853,5,5,3
1754656653999,5,4.73,3
1754656655143,5,5,3
1754656659919,5,5.27,3
1754656662671,5,5.53,3
1754656662967,5,5.8,3
1754656663167,5,6.07,3
1754656663360,5,6.33,3
1754656663534,5,6.6,3
1754656663720,5,6.87,3
1754656664016,5,7.13,3
1754656664415,5,7.4,3
1754656665071,5.27,7.4,3
1754656665248,5.53,7.4,3
1754656665431,5.8,7.4,3
1754656665615,6.07,7.4,3
1754656666254,6.33,7.4,3
1754656666504,6.6,7.4,3
1754656667576,6.87,7.4,3
1754656667807,7.13,7.4,3
1754656669185,7.4,7.4,3
1754656669791,7.67,7.4,3
1754656671023,7.67,7.13,3
1754656671320,7.67,6.87,3
1754656671847,7.67,6.6,3
1754656674102,7.93,6.6,3
1754656691968,7.93,6.33,3
1754656692468,7.93,6.07,3
1754656692498,7.93,5.8,3
1754656692528,7.93,5.53,3
1754656692558,7.93,5.27,3
1754656692592,7.93,5,3
1754656692625,7.93,4.73,3
1754656692659,7.93,4.47,3
1754656692692,7.93,4.2,3
1754656693144,7.67,4.2,3
1754656693644,7.4,4.2,3
1754656693675,7.13,4.2,3
1754656693709,6.87,4.2,3
1754656693743,6.6,4.2,3
1754656693776,6.33,4.2,3
1754656693794,6.07,4.2,3
1754656693826,5.8,4.2,3
1754656693858,5.53,4.2,3
1754656693892,5.27,4.2,3
1754656693925,5,4.2,3
1754656693944,4.73,4.2,3
1754656693976,4.47,4.2,3
1754656694009,4.2,4.2,3
1754656694042,3.93,4.2,3
1754656694076,3.67,4.2,3
1754656694093,3.4,4.2,3
1754656694127,3.13,4.2,3
1754656694384,3.13,3.93,3
1754656694591,3.13,3.67,3
1754656695032,2.87,3.67,3
1754656695272,2.6,3.67,3
1754656695592,2.33,3.67,3
1754656695979,2.33,3.4,3
1754656723553,2.6,3.4,3
1754656723881,2.87,3.4,3
1754656724160,3.13,3.4,3
1754656724662,3.4,3.4,3
1754656725041,3.67,3.4,3
1754656725250,3.93,3.4,3
1754656725449,4.2,3.4,3
1754656725634,4.47,3.4,3
1754656725827,4.73,3.4,3
1754656726024,5,3.4,3
1754656726640,5,3.67,3
1754656726871,5,3.93,3
1754656727103,5,4.2,3
1754656727313,5,4.47,3
1754656727480,5,4.73,3
1754656727697,5,5,3
1754656727887,5,5.27,3
1754656728103,5,5.53,3
1754656728289,5,5.8,3
1754656728584,5.27,5.8,3
1754656728792,5.53,5.8,3
1754656729008,5.53,6.07,3
1754656729345,5.8,6.07,3
1754656729624,6.07,6.07,3
1754656729817,6.33,6.07,3
1754656730001,6.6,6.07,3
1754656730171,6.87,6.07,3
1754656730369,7.13,6.07,3
1754656730584,7.4,6.07,3
1754656730937,7.67,6.07,3
1754656758753,7.67,5.8,3
1754656759253,7.67,5.53,3
1754656759284,7.67,5.27,3
1754656759313,7.67,5,3
1754656759344,7.67,4.73,3
1754656759377,7.67,4.47,3
1754656759410,7.67,4.2,3
1754656759444,7.67,3.93,3
1754656759477,7.67,3.67,3
1754656759495,7.67,3.4,3
1754656759527,7.67,3.13,3
1754656759561,7.67,2.87,3
1754656759594,7.67,2.6,3
1754656759627,7.67,2.33,3
1754656759645,7.67,2.07,3
1754656759913,7.4,2.07,3
1754656760413,7.13,2.07,3
1754656760444,6.87,2.07,3
1754656760478,6.6,2.07,3
1754656760511,6.33,2.07,3
