time,valence,arousal,videoID
1752838998109,5,5,0
1752839086595,4.73,5,0
1752839087095,4.47,5,0
1752839087124,4.2,5,0
1752839087158,3.93,5,0
1752839087188,3.67,5,0
1752839087218,3.4,5,0
1752839087252,3.13,5,0
1752839087585,3.13,4.73,0
1752839088086,3.13,4.47,0
1752839088119,3.13,4.2,0
1752839088152,3.13,3.93,0
1752839088184,3.13,3.67,0
1752839088434,3.13,3.4,0
1752839088618,3.13,3.13,0
1752839088714,3.13,2.87,0
1752839088955,3.13,2.6,0
1752839089459,3.13,2.33,0
1752839089834,2.87,2.33,0
1752839090034,2.6,2.33,0
1752839090617,2.33,2.33,0
1752839093697,2.33,2.6,0
1752839094153,2.33,2.87,0
1752839094655,2.33,3.13,0
1752839094685,2.33,3.4,0
1752839095266,2.6,3.4,0
1752839095554,2.87,3.4,0
1752839095836,3.13,3.4,0
1752839096116,3.4,3.4,0
1752839096402,3.67,3.4,0
1752839096713,3.93,3.4,0
1752839097215,4.2,3.4,0
1752839097248,4.47,3.4,0
1752839097279,4.73,3.4,0
1752839097305,5,3.4,0
1752839097682,5,3.67,0
1752839098371,5,3.93,0
1752839098642,5,4.2,0
1752839098851,5,4.47,0
1752839099126,5,4.73,0
1752839099427,5,5,0
1752839120627,5,5,5
1752839129676,5,4.73,5
1752839130176,5,4.47,5
1752839130508,5,4.2,5
1752839130730,5,3.93,5
1752839130925,5,3.67,5
1752839131146,5,3.4,5
1752839131380,5,3.13,5
1752839131811,5.27,3.13,5
1752839132312,5.53,3.13,5
1752839132340,5.8,3.13,5
1752839132690,6.07,3.13,5
1752839132922,6.33,3.13,5
1752839133141,6.6,3.13,5
1752839133299,6.87,3.13,5
1752839133797,6.87,2.87,5
1752839134291,6.87,2.6,5
1752839135042,7.13,2.6,5
1752839135858,7.13,2.33,5
1752839137187,7.4,2.33,5
1752839142481,7.4,2.6,5
1752839144563,7.4,2.87,5
1752839145274,7.4,3.13,5
1752839146092,7.67,3.13,5
1752839148563,7.67,2.87,5
1752839152396,7.4,2.87,5
1752839153590,7.4,3.13,5
1752839158523,7.13,3.13,5
1752839164683,6.87,3.13,5
1752839165219,6.6,3.13,5
1752839166099,6.6,3.4,5
1752839168292,6.6,3.13,5
1752839168790,6.6,2.87,5
1752839169339,6.6,2.6,5
1752839170965,6.6,2.33,5
1752839172732,6.87,2.33,5
1752839173139,6.87,2.6,5
1752839173572,6.87,2.87,5
1752839174411,7.13,2.87,5
1752839180709,7.4,2.87,5
1752839182622,7.4,3.13,5
1752839184466,7.4,3.4,5
1752839186947,7.4,3.13,5
1752839187476,7.4,2.87,5
1752839188732,7.13,2.87,5
1752839189765,7.13,2.6,5
1752839190996,7.13,2.33,5
1752839192227,7.13,2.6,5
1752839193373,7.13,2.87,5
1752839194443,7.13,3.13,5
1752839195252,7.4,3.13,5
1752839203148,7.4,3.4,5
1752839205102,7.4,3.13,5
1752839206582,7.4,2.87,5
1752839217251,7.4,2.6,5
1752839218619,7.13,2.6,5
1752839220229,7.13,2.87,5
1752839223565,7.4,2.87,5
1752839232782,7.67,2.87,5
1752839251366,7.4,2.87,5
1752839252140,7.4,3.13,5
1752839253252,7.13,3.13,5
1752839257812,7.13,2.87,5
1752839265809,5,5,0
