time,valence,arousal,videoID
1754389821542,5,5,0
1754389855004,5,4.73,0
1754389855729,5.27,4.73,0
1754389856137,5.27,4.47,0
1754389857473,5.27,4.73,0
1754389857842,5.27,5,0
1754389858578,5,5,0
1754389943391,5,5,7
1754389961573,5.27,5,7
1754389962108,5.27,4.73,7
1754389962609,5.27,4.47,7
1754389962641,5.27,4.2,7
1754389962671,5.27,3.93,7
1754389962705,5.27,3.67,7
1754389962738,5.27,3.4,7
1754389962773,5.27,3.13,7
1754389962790,5.27,2.87,7
1754389962823,5.27,2.6,7
1754389962857,5.27,2.33,7
1754389963380,5.27,2.6,7
1754389963880,5.27,2.87,7
1754389963911,5.27,3.13,7
1754389963940,5.27,3.4,7
1754389963975,5.27,3.67,7
1754389964004,5.27,3.93,7
1754389964037,5.27,4.2,7
1754389964072,5.27,4.47,7
1754389964105,5.27,4.73,7
1754389964123,5.27,5,7
1754389964154,5.27,5.27,7
1754389964347,5.27,5.53,7
1754389964548,5.27,5.8,7
1754389964725,5.27,6.07,7
1754389965224,5.27,6.33,7
1754389965254,5.27,6.6,7
1754389965288,5.27,6.87,7
1754389965322,5.27,7.13,7
1754389965619,5.27,7.4,7
1754389968589,5,7.4,7
1754389969925,4.73,7.4,7
1754389972348,4.73,7.13,7
1754389972848,4.73,6.87,7
1754389972879,4.73,6.6,7
1754389972907,4.73,6.33,7
1754389972939,4.73,6.07,7
1754389973262,4.73,5.8,7
1754389973500,4.73,5.53,7
1754389973708,4.73,5.27,7
1754389974111,4.73,5,7
1754389974684,5,5,7
1754389985894,5,4.73,7
1754389986251,5,4.47,7
1754389986819,5,4.2,7
1754389987056,5,3.93,7
1754389987500,5,4.2,7
1754389988000,5,4.47,7
1754389988033,5,4.73,7
1754389988059,5,5,7
1754389988092,5,5.27,7
1754389988122,5,5.53,7
1754389988156,5,5.8,7
1754389988189,5,6.07,7
1754389988222,5,6.33,7
1754389988239,5,6.6,7
1754389988579,5,6.87,7
1754389988811,5,7.13,7
1754389989003,5,7.4,7
1754389989181,5,7.67,7
1754389989772,4.73,7.67,7
1754389990068,4.47,7.67,7
1754389991699,4.47,7.93,7
1754389992102,4.47,8.2,7
1754389994045,4.73,8.2,7
1754389995309,4.47,8.2,7
1754389995557,4.2,8.2,7
1754389995770,3.93,8.2,7
1754389995980,3.67,8.2,7
1754389997166,3.67,8.47,7
1754389997511,3.67,8.73,7
1754389998212,3.67,8.47,7
1754389998556,3.67,8.2,7
1754389998772,3.67,7.93,7
1754389998973,3.67,7.67,7
1754390004342,3.67,7.93,7
1754390004524,3.67,8.2,7
1754390004740,3.67,8.47,7
1754390005157,3.67,8.73,7
1754390013948,3.93,8.73,7
1754390014244,4.2,8.73,7
1754390014484,4.47,8.73,7
1754390014742,4.73,8.73,7
1754390016038,5,8.73,7
1754390016283,5.27,8.73,7
1754390016502,5.53,8.73,7
1754390017043,5.8,8.73,7
1754390017852,5.8,8.47,7
1754390026941,5.53,8.47,7
1754390027238,5.27,8.47,7
1754390027465,5,8.47,7
1754390027703,4.73,8.47,7
1754390027909,4.47,8.47,7
1754390033886,4.47,8.2,7
1754390034831,4.73,8.2,7
1754390035142,5,8.2,7
1754390035366,5.27,8.2,7
1754390035581,5.53,8.2,7
1754390035838,5.8,8.2,7
1754390036429,5.8,7.93,7
1754390036734,5.8,7.67,7
1754390036998,5.8,7.4,7
1754390037246,5.8,7.13,7
1754390038096,5.8,6.87,7
1754390038382,5.8,6.6,7
1754390038677,5.53,6.6,7
1754390038918,5.27,6.6,7
1754390039126,5,6.6,7
1754390039309,4.73,6.6,7
1754390039506,4.47,6.6,7
1754390039702,4.2,6.6,7
1754390039965,3.93,6.6,7
1754390040702,3.67,6.6,7
1754390041036,3.4,6.6,7
1754390049751,3.4,6.33,7
1754390060391,3.4,6.6,7
1754390060890,3.4,6.87,7
1754390060924,3.4,7.13,7
1754390061133,3.4,7.4,7
1754390061366,3.4,7.67,7
1754390061558,3.4,7.93,7
1754390061748,3.4,8.2,7
1754390061950,3.4,8.47,7
1754390063439,3.4,8.73,7
1754390064512,3.4,8.47,7
1754390071943,3.4,8.2,7
1754390072367,3.4,7.93,7
1754390072584,3.4,7.67,7
1754390079689,3.4,7.4,7
1754390079949,3.4,7.13,7
1754390080160,3.4,6.87,7
1754390091921,3.4,6.6,7
1754390092206,3.4,6.33,7
1754390092438,3.4,6.07,7
1754390092673,3.4,5.8,7
1754390101037,3.4,6.07,7
1754390101305,3.4,6.33,7
1754390101501,3.4,6.6,7
1754390101694,3.4,6.87,7
1754390128529,3.4,7.13,7
1754390128918,3.4,7.4,7
1754390129159,3.4,7.67,7
1754390129391,3.4,7.93,7
1754390131640,3.67,7.93,7
1754390132208,3.93,7.93,7
1754390136096,4.2,7.93,7
1754390136951,4.47,7.93,7
1754390137296,4.73,7.93,7
1754390137574,5,7.93,7
1754390137822,5.27,7.93,7
1754390138048,5.53,7.93,7
1754390139264,5.27,7.93,7
1754390139543,5,7.93,7
1754390139759,4.73,7.93,7
1754390141623,5,5,0
1754390261734,5,5,1
1754390277673,5.27,5,1
1754390280090,5.27,5.27,1
1754390282243,5.27,5.53,1
1754390282786,5.27,5.8,1
1754390283169,5.27,6.07,1
1754390308517,5.27,6.33,1
1754390309739,5.27,6.6,1
1754390310021,5.27,6.87,1
1754390310595,5.27,7.13,1
1754390311645,5,7.13,1
1754390312036,4.73,7.13,1
1754390312299,4.47,7.13,1
1754390313059,4.47,6.87,1
1754390313346,4.2,6.87,1
1754390319107,4.47,6.87,1
1754390319499,4.73,6.87,1
1754390319746,5,6.87,1
1754390320795,5.27,6.87,1
1754390321842,5.27,7.13,1
1754390322074,5.27,7.4,1
1754390323587,5.53,7.4,1
1754390335204,5.27,7.4,1
1754390335557,5,7.4,1
1754390335755,4.73,7.4,1
1754390335941,4.47,7.4,1
1754390349197,4.47,7.13,1
1754390349405,4.47,6.87,1
1754390368108,4.73,6.87,1
1754390369213,5,6.87,1
1754390371371,5.27,6.87,1
1754390372260,5.27,7.13,1
1754390372556,5.27,7.4,1
1754390372924,5.27,7.67,1
1754390373204,5.27,7.93,1
1754390373948,5.27,8.2,1
1754390374248,5.53,8.2,1
1754390374958,5.53,7.93,1
1754390375557,5.8,7.93,1
1754390394390,5.8,7.67,1
1754390400085,5.8,7.93,1
1754390400349,5.8,8.2,1
1754390400790,6.07,8.2,1
1754390401100,6.33,8.2,1
1754390401496,6.6,8.2,1
1754390420006,6.33,8.2,1
1754390420391,6.07,8.2,1
1754390420664,5.8,8.2,1
1754390420973,5.53,8.2,1
1754390422534,5.8,8.2,1
1754390423551,6.07,8.2,1
1754390438892,5,5,0
1754390559022,5,5,2
1754390580722,5.27,5,2
1754390582209,5.53,5,2
1754390583936,5.53,4.73,2
1754390584210,5.53,4.47,2
1754390584640,5.53,4.2,2
1754390635805,5.53,3.93,2
1754390638243,5.53,4.2,2
1754390639538,5.53,4.47,2
1754390639789,5.53,4.73,2
1754390640410,5.53,5,2
1754390640690,5.53,5.27,2
1754390640931,5.53,5.53,2
1754390641402,5.53,5.8,2
1754390641650,5.53,6.07,2
1754390679332,5.53,6.33,2
1754390679831,5.53,6.6,2
1754390679863,5.53,6.87,2
1754390679891,5.53,7.13,2
1754390679921,5.53,7.4,2
1754390679955,5.53,7.67,2
1754390679988,5.53,7.93,2
1754390680022,5.53,8.2,2
1754390680056,5.53,8.47,2
1754390680089,5.53,8.73,2
1754390680104,5.53,9,2
1754390682533,5.53,8.73,2
1754390682847,5.53,8.47,2
1754390683018,5.53,8.2,2
1754390683435,5.53,7.93,2
1754390684731,5.53,7.67,2
1754390685326,5.53,7.4,2
1754390685634,5.53,7.13,2
1754390687540,5.53,7.4,2
1754390690212,5.27,7.4,2
1754390690596,5,7.4,2
1754390690859,4.73,7.4,2
1754390691108,4.47,7.4,2
1754390691300,4.2,7.4,2
1754390691515,3.93,7.4,2
1754390691692,3.67,7.4,2
1754390697181,3.67,7.13,2
1754390697475,3.67,6.87,2
1754390697900,3.67,6.6,2
1754390699990,3.67,6.33,2
1754390700443,3.67,6.07,2
1754390700815,3.67,5.8,2
1754390701357,3.67,6.07,2
1754390703741,3.67,5.8,2
1754390712555,3.67,6.07,2
1754390713100,3.67,6.33,2
1754390717020,3.67,6.6,2
1754390718270,3.93,6.6,2
1754390718612,4.2,6.6,2
1754390719476,4.47,6.6,2
1754390719717,4.73,6.6,2
1754390719979,5,6.6,2
1754390720244,5.27,6.6,2
1754390720541,5.53,6.6,2
1754390720900,5.8,6.6,2
1754390721748,5.8,6.87,2
1754390722013,5.8,7.13,2
1754390722301,5.8,7.4,2
1754390731009,5.8,7.13,2
1754390731164,5,5,0
1754390851295,5,5,4
1754390896584,5,4.73,4
1754390897050,5,4.47,4
1754390898336,4.73,4.47,4
1754390898968,4.47,4.47,4
1754390899448,4.2,4.47,4
1754390902371,4.2,4.2,4
1754390915914,4.2,3.93,4
1754390916345,4.2,3.67,4
1754390917097,4.47,3.67,4
1754390917561,4.47,3.4,4
1754390917815,4.47,3.13,4
1754390918041,4.47,2.87,4
1754390918266,4.47,2.6,4
1754390919192,4.2,2.6,4
1754390919745,3.93,2.6,4
1754390920762,3.93,2.33,4
1754390921025,3.93,2.07,4
1754390921444,3.93,1.8,4
1754390931258,4.2,1.8,4
1754390931570,4.47,1.8,4
1754390931835,4.73,1.8,4
1754390932088,5,1.8,4
1754390932681,5.27,1.8,4
1754390933785,5,1.8,4
1754390933992,4.73,1.8,4
1754390934313,4.47,1.8,4
1754390934528,4.2,1.8,4
1754390934737,3.93,1.8,4
1754390959323,3.93,2.07,4
1754390959601,3.93,2.33,4
1754390959826,3.93,2.6,4
1754390960052,3.93,2.87,4
1754390960265,3.93,3.13,4
1754390960497,3.93,3.4,4
1754390961433,4.2,3.4,4
1754390961704,4.47,3.4,4
1754390963049,4.47,3.13,4
1754391015596,4.47,2.87,4
1754391015827,4.47,2.6,4
1754391016461,4.47,2.33,4
1754391016503,5,5,0
1754391136637,5,5,5
