time,valence,arousal,videoID
1754473505842,5,5,0
1754473627318,5,5,7
1754473631780,4.73,5,7
1754473632281,4.47,5,7
1754473632310,4.2,5,7
1754473632341,3.93,5,7
1754473632370,3.67,5,7
1754473632541,3.67,5.27,7
1754473633041,3.67,5.53,7
1754473633070,3.67,5.8,7
1754473633103,3.67,6.07,7
1754473646701,3.67,5.8,7
1754473647201,3.67,5.53,7
1754473647235,3.67,5.27,7
1754473647268,3.67,5,7
1754473647301,3.67,4.73,7
1754473647336,3.67,4.47,7
1754473647353,3.67,4.2,7
1754473647385,3.67,3.93,7
1754473647418,3.67,3.67,7
1754473647452,3.67,3.4,7
1754473660038,3.93,3.4,7
1754473660413,4.2,3.4,7
1754473660717,4.47,3.4,7
1754473661461,4.73,3.4,7
1754473668528,4.73,3.67,7
1754473669027,4.73,3.93,7
1754473669056,4.73,4.2,7
1754473669086,4.73,4.47,7
1754473669119,4.73,4.73,7
1754473669153,4.73,5,7
1754473669185,4.73,5.27,7
1754473669219,4.73,5.53,7
1754473669252,4.73,5.8,7
1754473669268,4.73,6.07,7
1754473673654,4.73,6.33,7
1754473674156,4.73,6.6,7
1754473674187,4.73,6.87,7
1754473674219,4.73,7.13,7
1754473674253,4.73,7.4,7
1754473686111,4.73,7.67,7
1754473687095,4.47,7.67,7
1754473687597,4.2,7.67,7
1754473687625,3.93,7.67,7
1754473687656,3.67,7.67,7
1754473687686,3.4,7.67,7
1754473687719,3.13,7.67,7
1754473687753,2.87,7.67,7
1754473687787,2.6,7.67,7
1754473687819,2.33,7.67,7
1754473696175,2.33,7.93,7
1754473696960,2.07,7.93,7
1754473697424,1.8,7.93,7
1754473705033,1.53,7.93,7
1754473705423,1.53,8.2,7
1754473713247,1.53,8.47,7
1754473721016,1.8,8.47,7
1754473721515,2.07,8.47,7
1754473721546,2.33,8.47,7
1754473721579,2.6,8.47,7
1754473721606,2.87,8.47,7
1754473721638,3.13,8.47,7
1754473721672,3.4,8.47,7
1754473743938,3.13,8.47,7
1754473744436,2.87,8.47,7
1754473744465,2.6,8.47,7
1754473744499,2.33,8.47,7
1754473744527,2.07,8.47,7
1754473744556,1.8,8.47,7
1754473744587,1.53,8.47,7
1754473758947,1.53,8.73,7
1754473765705,1.27,8.73,7
1754473787770,1.27,9,7
1754473797579,1.53,9,7
1754473798080,1.8,9,7
1754473798108,2.07,9,7
1754473798139,2.33,9,7
1754473798173,2.6,9,7
1754473798207,2.87,9,7
1754473814315,2.6,9,7
1754473814814,2.33,9,7
1754473814844,2.07,9,7
1754473815819,1.8,9,7
1754473825579,5,5,0
1754473945714,5,5,1
1754473954720,5,5.27,1
1754473955218,5,5.53,1
1754473955247,5,5.8,1
1754473955278,5,6.07,1
1754473955310,5,6.33,1
1754473956319,5.27,6.33,1
1754473956820,5.53,6.33,1
1754473956848,5.8,6.33,1
1754473957295,6.07,6.33,1
1754473957535,6.33,6.33,1
1754473958040,6.33,6.6,1
1754473975347,6.33,6.87,1
1754473975843,6.33,7.13,1
1754473975873,6.33,7.4,1
1754473975902,6.33,7.67,1
1754473975932,6.33,7.93,1
1754473975963,6.33,8.2,1
1754473979601,6.6,8.2,1
1754473979896,6.87,8.2,1
1754473995777,7.13,8.2,1
1754474010538,7.13,8.47,1
1754474011064,7.13,8.73,1
1754474018281,7.13,8.47,1
1754474018489,7.13,8.2,1
1754474046186,7.4,8.2,1
1754474047450,7.67,8.2,1
1754474063857,7.93,8.2,1
1754474077938,7.93,8.47,1
1754474078659,7.93,8.73,1
1754474090858,8.2,8.73,1
1754474122866,5,5,0
1754474191002,5,5,0
1754474192485,5,5,0
1754474193721,5,5,2
1754474213671,5.27,5,2
1754474214171,5.53,5,2
1754474215160,5.53,4.73,2
1754474228143,5.53,5,2
1754474228643,5.53,5.27,2
1754474228672,5.53,5.53,2
1754474228703,5.53,5.8,2
1754474266890,5.53,6.07,2
1754474290120,5.8,6.07,2
1754474290622,6.07,6.07,2
1754474291121,6.07,6.33,2
1754474291392,6.07,6.6,2
1754474291674,6.07,6.87,2
1754474328329,6.07,7.13,2
1754474328634,6.07,7.4,2
1754474331105,6.33,7.4,2
1754474335787,6.6,7.4,2
1754474341746,6.6,7.67,2
1754474342747,6.6,7.93,2
1754474343449,6.6,8.2,2
1754474346740,6.87,8.2,2
1754474347419,7.13,8.2,2
1754474347945,7.4,8.2,2
1754474348643,7.67,8.2,2
1754474349499,7.93,8.2,2
1754474351594,8.2,8.2,2
1754474365859,5,5,0
1754474446332,5,5,0
1754474452313,5,5,4
1754474467374,5,4.73,4
1754474467853,5,4.47,4
1754474468309,5,4.2,4
1754474472942,5.27,4.2,4
1754474473917,5.27,3.93,4
1754474474166,5.27,3.67,4
1754474474414,5.27,3.4,4
1754474474901,5.27,3.13,4
1754474483711,5.27,2.87,4
1754474487173,5.27,2.6,4
1754474487704,5.27,2.33,4
1754474488878,5.53,2.33,4
1754474489173,5.8,2.33,4
