time,valence,arousal,videoID
1753959983631,5,5,0
1753960105904,5,5,4
1753960116720,5.27,5,4
1753960116984,5.53,5,4
1753960117208,5.8,5,4
1753960117944,6.07,5,4
1753960118216,6.33,5,4
1753960119185,6.6,5,4
1753960122569,6.87,5,4
1753960124592,6.87,4.73,4
1753960124793,6.87,4.47,4
1753960124992,6.87,4.2,4
1753960125185,6.87,3.93,4
1753960125376,6.87,3.67,4
1753960125664,6.87,3.4,4
1753960144665,7.13,3.4,4
1753960145273,7.13,3.67,4
1753960145914,7.13,3.93,4
1753960148618,7.13,4.2,4
1753960150201,7.13,4.47,4
1753960150466,7.13,4.73,4
1753960150746,7.13,5,4
1753960151089,7.13,5.27,4
1753960151913,7.13,5.53,4
1753960163642,7.13,5.8,4
1753960163913,7.13,6.07,4
1753960164185,7.13,6.33,4
1753960164465,7.13,6.6,4
1753960164754,7.4,6.6,4
1753960167394,7.4,6.87,4
1753960218797,7.4,7.13,4
1753960219099,7.4,7.4,4
1753960219411,7.4,7.67,4
1753960250380,7.4,7.4,4
1753960250880,7.4,7.13,4
1753960250912,7.4,6.87,4
1753960250945,7.4,6.6,4
1753960250979,7.4,6.33,4
1753960251012,7.4,6.07,4
1753960251046,7.4,5.8,4
1753960251062,7.4,5.53,4
1753960251094,7.4,5.27,4
1753960251129,7.4,5,4
1753960251162,7.4,4.73,4
1753960251180,7.4,4.47,4
1753960251212,7.4,4.2,4
1753960251245,7.4,3.93,4
1753960251278,7.4,3.67,4
1753960251556,7.4,3.4,4
1753960251868,7.4,3.13,4
1753960253948,7.13,3.13,4
1753960254447,6.87,3.13,4
1753960254478,6.6,3.13,4
1753960254511,6.33,3.13,4
1753960254545,6.07,3.13,4
1753960254578,5.8,3.13,4
1753960254611,5.53,3.13,4
1753960254645,5.27,3.13,4
1753960254662,5,3.13,4
1753960254695,4.73,3.13,4
1753960254728,4.47,3.13,4
1753960254761,4.2,3.13,4
1753960254795,3.93,3.13,4
1753960254812,3.67,3.13,4
1753960256523,3.67,2.87,4
1753960260019,3.93,2.87,4
1753960260379,4.2,2.87,4
