time,valence,arousal,videoID
1751621779209,5,5,0
1751621782505,5,5,0
1751621783526,5,5,0
1751621786490,5,5,0
1751621787152,5,5,5
1751621791785,5.27,5,5
1751621792022,5.53,5,5
1751621792769,5.27,5,5
1751621793045,5,5,5
1751621794151,5,5.27,5
1751621794370,5,5.53,5
1751621794650,5,5.27,5
1751621794861,5,5,5
1751621795043,5,4.73,5
1751621795231,5,4.47,5
1751621795396,4.73,4.47,5
1751621795896,4.47,4.47,5
1751621795927,4.2,4.47,5
1751621795957,3.93,4.47,5
1751621795990,3.67,4.47,5
1751621796024,3.4,4.47,5
1751621796058,3.13,4.47,5
1751621796082,2.87,4.47,5
1751621796108,2.87,4.73,5
1751621796602,2.87,5,5
1751621796630,2.87,5.27,5
1751621796660,2.87,5.53,5
1751621796693,2.87,5.8,5
1751621796726,2.87,6.07,5
1751621796762,2.87,6.33,5
1751621796777,2.87,6.6,5
1751621796810,3.13,6.6,5
1751621797306,3.4,6.6,5
1751621797335,3.67,6.6,5
1751621797363,3.93,6.6,5
1751621797396,4.2,6.6,5
1751621797430,4.47,6.6,5
1751621797463,4.73,6.6,5
1751621797496,5,6.6,5
1751621797514,5.27,6.6,5
1751621797546,5.53,6.6,5
1751621797579,5.8,6.6,5
1751621797613,6.07,6.6,5
1751621797646,6.33,6.6,5
1751621797666,6.6,6.6,5
1751621797697,6.87,6.6,5
1751621797730,7.13,6.6,5
1751621797763,7.4,6.6,5
1751621797796,7.67,6.6,5
1751621797831,7.93,6.6,5
1751621797847,7.93,6.33,5
1751621798345,7.93,6.07,5
1751621798374,7.93,5.8,5
1751621798408,7.93,5.53,5
1751621798435,7.93,5.27,5
1751621798465,7.93,5,5
1751621798500,7.93,4.73,5
1751621798533,7.93,4.47,5
1751621798566,7.93,4.2,5
1751621798599,7.93,3.93,5
1751621798615,7.93,3.67,5
1751621798649,7.93,3.4,5
1751621798682,7.93,3.13,5
1751621798716,7.67,2.87,5
1751621799212,7.4,2.87,5
1751621799241,7.13,2.87,5
1751621799271,6.87,2.87,5
1751621799301,6.6,2.87,5
1751621799334,6.33,2.87,5
1751621799367,6.07,2.87,5
1751621799400,5.8,2.87,5
1751621799434,5.53,2.87,5
1751621799470,5.27,2.87,5
1751621799487,5,2.87,5
1751621799520,4.73,2.87,5
1751621799553,4.47,2.87,5
1751621799586,4.2,2.87,5
1751621799619,3.93,2.87,5
1751621799637,3.67,2.87,5
1751621799669,3.4,2.87,5
1751621799704,3.13,2.87,5
1751621799738,2.87,2.87,5
1751621799758,2.6,2.87,5
1751621799786,2.33,2.87,5
1751621799820,2.07,2.87,5
1751621799854,1.8,2.87,5
1751621799887,1.53,2.87,5
1751621799920,1.27,2.87,5
1751621799939,1,2.87,5
