time,valence,arousal,videoID
1755169411601,5,5,0
1755169533274,5,5,3
1755169542530,5.27,5,3
1755169543450,5.53,5,3
1755169543658,5.8,5,3
1755169543850,6.07,5,3
1755169544034,6.33,5,3
1755169544218,6.6,5,3
1755169544378,6.87,5,3
1755169544626,7.13,5,3
1755169544939,7.4,5,3
1755169545459,7.67,5,3
1755169552514,7.67,4.73,3
1755169552938,7.67,4.47,3
1755169553250,7.67,4.2,3
1755169553898,7.67,3.93,3
1755169554554,7.67,3.67,3
1755169556706,7.93,3.67,3
1755169587043,7.93,3.4,3
1755169587378,7.93,3.13,3
1755169587666,7.93,2.87,3
1755169587914,7.93,2.6,3
1755169592483,7.93,2.87,3
1755169592723,7.93,3.13,3
1755169592891,7.93,3.4,3
1755169593391,7.93,3.67,3
1755169593420,7.93,3.93,3
1755169593454,7.93,4.2,3
1755169593487,7.93,4.47,3
1755169593521,7.93,4.73,3
1755169593554,7.93,5,3
1755169598909,7.67,5,3
1755169599724,7.4,5,3
1755169601661,7.13,5,3
1755169607195,7.13,4.73,3
1755169608180,7.13,5,3
1755169608460,7.13,5.27,3
1755169620548,7.13,5,3
1755169620836,7.13,4.73,3
1755169621084,7.13,4.47,3
1755169621340,7.13,4.2,3
1755169621619,7.13,3.93,3
1755169651425,5,5,0
1755169771560,5,5,5
1755169776999,5.27,5,5
1755169777303,5.53,5,5
1755169777804,5.8,5,5
1755169777834,6.07,5,5
1755169777863,6.33,5,5
1755169777893,6.6,5,5
1755169778150,6.87,5,5
1755169778383,7.13,5,5
1755169778599,7.4,5,5
1755169782319,7.67,5,5
1755169784591,7.67,5.27,5
1755169785623,7.67,5.53,5
1755169786248,7.93,5.53,5
1755169787192,7.93,5.8,5
1755169787735,7.93,6.07,5
1755169794216,8.2,6.07,5
1755169794511,8.47,6.07,5
1755169794895,8.73,6.07,5
1755169841217,8.73,5.8,5
1755169841936,8.73,5.53,5
1755169843136,8.73,5.8,5
1755169844041,8.47,5.8,5
1755169845112,8.47,5.53,5
1755169845488,8.47,5.27,5
1755169848433,8.73,5.27,5
1755169879721,8.73,5,5
1755169880249,8.73,4.73,5
1755169880777,8.73,4.47,5
1755169881130,8.73,4.2,5
1755169881481,8.73,3.93,5
1755169881793,8.73,3.67,5
1755169882057,8.73,3.4,5
1755169883585,8.47,3.4,5
1755169912210,8.47,3.13,5
1755169912522,8.47,2.87,5
1755169912762,8.47,2.6,5
1755169916713,5,5,0
1755170036836,5,5,8
1755170049453,4.73,5,8
1755170057116,4.73,5.27,8
1755170057550,4.73,5.53,8
1755170058620,4.47,5.53,8
1755170060749,4.47,5.8,8
1755170060965,4.47,6.07,8
1755170061189,4.47,6.33,8
1755170061389,4.47,6.6,8
1755170062389,4.2,6.6,8
