time,valence,arousal,videoID
1754640357101,5,5,0
1754640478598,5,5,1
1754640497727,5,4.73,1
1754640504661,5,4.47,1
1754640505039,5,4.2,1
1754640505198,5,3.93,1
1754640505487,5,3.67,1
1754640506313,4.73,3.67,1
1754640509064,4.73,3.4,1
1754640509534,4.73,3.13,1
1754640509806,4.73,2.87,1
1754640529910,5,2.87,1
1754640530213,5.27,2.87,1
1754640530471,5.53,2.87,1
1754640530769,5.8,2.87,1
1754640532623,5.8,3.13,1
1754640533070,5.8,3.4,1
1754640616113,5.8,3.67,1
1754640616613,5.8,3.93,1
1754640616642,5.8,4.2,1
1754640616670,5.8,4.47,1
1754640616703,5.8,4.73,1
1754640616736,5.8,5,1
1754640616769,5.8,5.27,1
1754640616804,5.8,5.53,1
1754640616837,5.8,5.8,1
1754640616854,5.8,6.07,1
1754640617496,5.8,6.33,1
1754640617996,5.8,6.6,1
1754640618028,5.8,6.87,1
1754640618056,5.8,7.13,1
1754640618087,5.8,7.4,1
1754640618120,5.8,7.67,1
1754640619182,6.07,7.67,1
1754640619817,6.07,7.93,1
1754640644449,6.33,7.93,1
1754640655759,5,5,0
1754640775861,5,5,3
1754640783787,4.73,5,3
1754640784115,4.47,5,3
1754640784396,4.2,5,3
1754640785812,4.2,4.73,3
1754640786314,4.2,4.47,3
1754640786344,4.2,4.2,3
1754640786373,4.2,3.93,3
1754640786406,4.2,3.67,3
1754640786441,4.2,3.4,3
1754640786473,4.2,3.13,3
1754640786507,4.2,2.87,3
1754640786526,4.2,2.6,3
1754640786557,4.2,2.33,3
1754640792292,4.2,2.6,3
1754640807804,3.93,2.6,3
1754640808083,3.67,2.6,3
1754640808428,3.4,2.6,3
1754640871567,3.13,2.6,3
1754640871958,2.87,2.6,3
1754640872304,2.6,2.6,3
1754640872623,2.33,2.6,3
1754640873327,2.07,2.6,3
1754640873790,1.8,2.6,3
1754640893980,5,5,0
1754641014111,5,5,6
1754641025763,5.27,5,6
1754641027236,5.53,5,6
1754641027587,5.8,5,6
1754641028267,6.07,5,6
1754641028587,6.33,5,6
1754641028916,6.6,5,6
1754641029246,6.6,5.27,6
1754641029745,6.6,5.53,6
1754641029774,6.6,5.8,6
1754641029803,6.6,6.07,6
1754641030052,6.6,6.33,6
1754641030284,6.6,6.6,6
1754641030547,6.6,6.87,6
1754641030733,6.6,7.13,6
1754641030978,6.6,7.4,6
1754641057397,6.6,7.13,6
1754641057896,6.6,6.87,6
1754641057926,6.6,6.6,6
1754641057955,6.6,6.33,6
1754641057987,6.6,6.07,6
1754641058016,6.6,5.8,6
1754641058048,6.6,5.53,6
1754641058081,6.6,5.27,6
1754641058115,6.6,5,6
1754641058149,6.6,4.73,6
1754641058182,6.6,4.47,6
1754641058200,6.6,4.2,6
1754641058232,6.6,3.93,6
1754641058996,6.6,4.2,6
1754641117016,6.87,4.2,6
1754641117303,7.13,4.2,6
1754641117576,7.4,4.2,6
1754641117830,7.67,4.2,6
1754641118077,7.93,4.2,6
1754641118333,8.2,4.2,6
1754641118590,8.47,4.2,6
1754641151654,8.47,4.47,6
1754641152155,8.47,4.73,6
1754641152185,8.47,5,6
1754641152218,8.47,5.27,6
1754641152252,8.47,5.53,6
1754641152285,8.47,5.8,6
1754641152318,8.47,6.07,6
1754641152335,8.47,6.33,6
1754641152368,8.47,6.6,6
1754641160610,5,5,0
1754641280736,5,5,8
1754641302996,4.73,5,8
1754641303348,4.47,5,8
1754641304812,4.47,5.27,8
1754641305490,4.47,5.53,8
1754641307691,4.47,5.8,8
1754641308003,4.47,6.07,8
1754641308275,4.47,6.33,8
1754641308566,4.47,6.6,8
1754641356309,4.2,6.6,8
1754641356846,3.93,6.6,8
1754641357261,3.67,6.6,8
1754641357909,3.4,6.6,8
1754641380510,3.13,6.6,8
1754641383831,3.13,6.87,8
1754641384485,3.13,7.13,8
1754641384855,3.13,7.4,8
1754641385245,3.13,7.67,8
1754641387143,3.13,7.93,8
1754641387917,3.13,8.2,8
1754641388308,3.13,8.47,8
1754641390009,3.13,8.73,8
1754641390944,2.87,8.73,8
1754641391442,2.6,8.73,8
1754641404904,2.33,8.73,8
1754641405703,2.07,8.73,8
1754641406614,2.07,8.47,8
1754641417184,2.07,8.2,8
1754641417639,2.07,7.93,8
1754641418462,2.07,7.67,8
1754641422337,2.07,7.93,8
1754641423550,2.07,8.2,8
1754641425120,2.07,8.47,8
1754641425439,2.07,8.73,8
1754641428298,5,5,0
1754641548420,5,5,2
1754641572589,5.27,5,2
1754641573651,5.53,5,2
1754641574012,5.8,5,2
1754641574418,6.07,5,2
1754641626975,6.07,5.27,2
1754641627471,6.07,5.53,2
1754641627501,6.07,5.8,2
1754641627534,6.07,6.07,2
1754641627565,6.07,6.33,2
1754641627598,6.07,6.6,2
