time,valence,arousal,videoID
1754632531748,5,5,0
1754632653444,5,5,1
1754632663047,5.27,5,1
1754632669057,5.27,4.73,1
1754632669287,5.27,4.47,1
1754632669502,5.27,4.2,1
1754632672719,5,4.2,1
1754632672958,4.73,4.2,1
1754632673158,4.47,4.2,1
1754632675240,4.47,3.93,1
1754632679640,4.47,3.67,1
1754632680128,4.47,3.4,1
1754632681079,4.47,3.13,1
1754632687975,4.73,3.13,1
1754632688219,5,3.13,1
1754632688458,5.27,3.13,1
1754632688656,5.53,3.13,1
1754632688890,5.8,3.13,1
1754632689104,6.07,3.13,1
1754632689298,6.33,3.13,1
1754632689504,6.6,3.13,1
1754632691808,6.6,3.4,1
1754632692040,6.6,3.67,1
1754632692409,6.6,3.93,1
1754632692752,6.87,3.93,1
1754632692993,7.13,3.93,1
1754632693232,7.13,4.2,1
1754632696866,7.4,4.2,1
1754632697129,7.67,4.2,1
1754632697688,7.93,4.2,1
1754632698328,8.2,4.2,1
1754632703481,8.2,4.47,1
1754632704497,8.2,4.73,1
1754632706193,8.2,5,1
1754632710930,8.2,5.27,1
1754632720700,8.2,5.53,1
1754632720905,8.2,5.8,1
1754632721114,8.2,6.07,1
1754632721299,8.2,6.33,1
1754632721705,8.2,6.6,1
1754632732148,7.93,6.6,1
1754632732458,7.67,6.6,1
1754632732906,7.4,6.6,1
1754632733147,7.13,6.6,1
1754632733379,6.87,6.6,1
1754632740964,6.87,6.33,1
1754632741258,6.87,6.07,1
1754632741602,6.87,5.8,1
1754632741963,6.87,5.53,1
1754632744915,6.87,5.27,1
1754632745155,6.87,5,1
1754632745331,6.87,4.73,1
1754632745606,6.87,4.47,1
1754632745933,6.87,4.2,1
1754632753005,6.87,3.93,1
1754632754891,6.87,3.67,1
1754632755116,6.87,3.4,1
1754632755252,6.87,3.13,1
1754632755645,6.87,2.87,1
1754632756005,6.87,2.6,1
1754632758164,7.13,2.6,1
1754632766948,6.87,2.6,1
1754632770053,6.87,2.87,1
1754632770309,6.87,3.13,1
1754632770543,6.87,3.4,1
1754632779823,6.87,3.67,1
1754632780710,6.87,3.4,1
1754632781084,6.87,3.13,1
1754632783237,6.6,3.13,1
1754632783644,6.33,3.13,1
1754632783893,6.07,3.13,1
1754632784143,5.8,3.13,1
1754632784388,5.53,3.13,1
1754632785405,5.27,3.13,1
1754632785612,5,3.13,1
1754632785878,4.73,3.13,1
1754632786166,4.47,3.13,1
1754632787927,4.47,2.87,1
1754632792860,4.47,3.13,1
1754632793362,4.47,3.4,1
1754632793391,4.47,3.67,1
1754632793425,4.47,3.93,1
1754632793458,4.47,4.2,1
1754632793492,4.47,4.47,1
1754632793525,4.47,4.73,1
1754632793541,4.47,5,1
1754632793574,4.47,5.27,1
