time,valence,arousal,videoID
1754569486761,5,5,0
1754569608568,5,5,6
1754569620396,5.27,5,6
1754569620588,5.27,5.27,6
1754569621167,5.27,5.53,6
1754569621663,5.27,5.8,6
1754569621698,5.27,6.07,6
1754569621730,5.27,6.33,6
1754569621763,5.27,6.6,6
1754569621796,5.27,6.87,6
1754569621815,5.27,7.13,6
1754569621847,5.27,7.4,6
1754569621879,5.27,7.67,6
1754569621914,5.27,7.93,6
1754569621947,5.27,8.2,6
1754569621981,5.27,8.47,6
1754569622315,5.53,8.47,6
1754569622648,5.8,8.47,6
1754569623143,6.07,8.47,6
1754569623173,6.33,8.47,6
1754569623203,6.6,8.47,6
1754569623233,6.87,8.47,6
1754569623263,7.13,8.47,6
1754569623297,7.4,8.47,6
1754569623330,7.67,8.47,6
1754569623364,7.93,8.47,6
1754569623397,8.2,8.47,6
1754569623414,8.47,8.47,6
1754569624085,8.47,8.2,6
1754569629493,8.2,8.2,6
1754569630502,8.47,8.2,6
1754569630787,8.73,8.2,6
1754569631052,9,8.2,6
1754569635724,9,7.93,6
1754569636148,9,7.67,6
1754569636715,9,7.4,6
1754569637883,9,7.67,6
1754569653876,9,7.93,6
1754569654205,9,8.2,6
1754569654836,9,8.47,6
1754569656509,9,8.2,6
1754569658389,9,8.47,6
1754569658739,9,8.73,6
1754569658964,9,9,6
1754569659924,9,8.73,6
1754569677079,8.73,8.73,6
1754569678838,8.73,8.47,6
1754569679933,8.73,8.73,6
1754569680230,8.73,9,6
1754569681308,8.73,8.73,6
1754569682740,8.73,8.47,6
1754569683077,8.73,8.2,6
1754569683300,8.73,7.93,6
1754569683550,8.73,7.67,6
1754569683924,8.73,7.4,6
1754569684199,8.73,7.13,6
1754569684445,8.73,6.87,6
1754569685157,8.73,6.6,6
1754569692044,8.73,6.33,6
1754569692545,8.73,6.07,6
1754569692574,8.73,5.8,6
1754569692605,8.73,5.53,6
1754569692635,8.73,5.27,6
1754569692667,8.73,5,6
1754569692698,8.73,4.73,6
1754569692732,8.73,4.47,6
1754569692764,8.73,4.2,6
1754569692798,8.73,3.93,6
1754569692815,8.73,3.67,6
1754569693142,8.73,3.4,6
1754569693573,8.73,3.13,6
1754569694036,8.73,3.4,6
1754569704654,8.73,3.67,6
1754569705153,8.73,3.93,6
1754569705183,8.73,4.2,6
1754569705214,8.73,4.47,6
1754569705249,8.73,4.73,6
1754569705282,8.73,5,6
1754569705316,8.73,5.27,6
1754569705350,8.73,5.53,6
1754569705364,8.73,5.8,6
1754569705399,8.73,6.07,6
1754569705432,8.73,6.33,6
1754569705757,8.73,6.6,6
1754569706317,8.73,6.87,6
1754569713765,8.73,7.13,6
1754569714053,8.73,7.4,6
1754569715685,8.73,7.13,6
1754569716186,8.73,6.87,6
1754569716215,8.73,6.6,6
1754569716248,8.73,6.33,6
1754569716283,8.73,6.07,6
1754569716315,8.73,5.8,6
1754569716349,8.73,5.53,6
1754569716366,8.73,5.27,6
1754569716398,8.73,5,6
1754569716432,8.73,4.73,6
1754569716465,8.73,4.47,6
1754569716499,8.73,4.2,6
1754569716516,8.73,3.93,6
1754569716548,8.73,3.67,6
1754569716582,8.73,3.4,6
1754569717133,8.73,3.13,6
1754569717373,8.73,2.87,6
1754569717565,8.73,2.6,6
1754569718056,8.73,2.33,6
1754569718517,8.73,2.6,6
1754569724614,8.73,2.33,6
1754569724869,8.73,2.07,6
1754569725062,8.73,1.8,6
1754569725253,8.73,1.53,6
1754569726032,8.73,1.8,6
1754569726533,8.73,1.53,6
1754569735127,8.47,1.53,6
1754569735627,8.2,1.53,6
1754569735658,7.93,1.53,6
1754569735685,7.67,1.53,6
1754569735716,7.4,1.53,6
1754569735748,7.13,1.53,6
1754569735782,6.87,1.53,6
1754569735816,6.6,1.53,6
1754569735849,6.33,1.53,6
1754569735866,6.07,1.53,6
1754569735899,5.8,1.53,6
1754569735933,5.53,1.53,6
1754569735966,5.27,1.53,6
1754569735999,5,1.53,6
1754569736016,4.73,1.53,6
1754569736049,4.47,1.53,6
1754569736083,4.2,1.53,6
1754569736116,3.93,1.53,6
1754569736149,3.67,1.53,6
1754569736166,3.4,1.53,6
1754569736199,3.13,1.53,6
1754569736232,2.87,1.53,6
1754569736266,2.6,1.53,6
1754569736299,2.33,1.53,6
1754569736316,2.07,1.53,6
1754569736349,1.8,1.53,6
1754569736383,1.53,1.53,6
1754569737366,1.27,1.53,6
1754569737654,1.27,1.8,6
1754569737896,1.27,2.07,6
1754569738101,1.27,2.33,6
1754569738317,1.27,2.6,6
1754569738965,1.27,2.33,6
1754569740895,1.53,2.33,6
1754569741485,1.8,2.33,6
1754569741985,2.07,2.33,6
1754569742016,2.33,2.33,6
1754569742049,2.6,2.33,6
1754569742082,2.87,2.33,6
1754569742116,3.13,2.33,6
1754569742149,3.4,2.33,6
1754569742168,3.67,2.33,6
1754569742199,3.93,2.33,6
1754569742232,4.2,2.33,6
1754569742266,4.47,2.33,6
1754569742299,4.73,2.33,6
1754569742317,5,2.33,6
1754569742349,5.27,2.33,6
1754569742383,5.53,2.33,6
1754569742416,5.8,2.33,6
1754569742449,6.07,2.33,6
1754569742483,6.33,2.33,6
1754569742499,6.6,2.33,6
1754569742532,6.87,2.33,6
1754569742566,7.13,2.33,6
1754569742633,7.4,2.33,6
1754569742917,7.4,2.6,6
1754569743417,7.4,2.87,6
1754569743450,7.4,3.13,6
1754569743482,7.4,3.4,6
1754569743800,7.4,3.67,6
1754569744261,7.4,3.4,6
1754569746118,7.4,3.67,6
1754569746618,7.4,3.93,6
1754569746650,7.4,4.2,6
1754569746683,7.4,4.47,6
1754569746715,7.4,4.73,6
1754569746749,7.4,5,6
1754569746782,7.4,5.27,6
1754569746800,7.4,5.53,6
1754569746833,7.4,5.8,6
1754569746866,7.4,6.07,6
1754569746899,7.4,6.33,6
